method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct,type,extreme
cross_scenario,k_medoids,1005104349,41,5.31435e7,20.9884025,CosineDist,closemixed,38644.739765,37,insample,none
cross_scenario,k_medoids,1534696584,41,5.29931e7,22.0163794,CosineDist,closemixed,31242.151972,33,insample,none
cross_scenario,k_medoids,225016911,41,5.52225e7,29.0072927,CosineDist,closemixed,100112.363266,79,insample,none
cross_scenario,k_medoids,2317592996,41,5.30922e7,19.495383,CosineDist,closemixed,32844.045442,42,insample,none
cross_scenario,k_medoids,2716090479,41,5.34028e7,19.838346,CosineDist,closemixed,47983.621243,52,insample,none
cross_scenario,k_medoids,3258958499,41,5.38596e7,22.0898141,CosineDist,closemixed,54613.331914,41,insample,none
cross_scenario,k_medoids,329433595,41,5.28259e7,21.3172726,CosineDist,closemixed,24235.651787,29,insample,none
cross_scenario,k_medoids,3444774395,41,6.12324e7,27.3631821,CosineDist,closemixed,271205.598086,216,insample,none
cross_scenario,k_medoids,438234340,41,5.30431e7,20.4358557,CosineDist,closemixed,30324.397329,35,insample,none
cross_scenario,k_medoids,953901905,41,5.38306e7,27.0176566,CosineDist,closemixed,53464.959693,37,insample,none
cross_scenario,k_medoids,1660595499,5,9.66984e7,1.578714,CosineDist,closemixed,1.190997636322e6,723,insample,none
cross_scenario,k_medoids,1714105051,5,9.78867e7,1.227486,CosineDist,closemixed,1.221328496727e6,700,insample,none
cross_scenario,k_medoids,2169593505,5,6.01817e7,1.1841018,CosineDist,closemixed,231700.074267,219,insample,none
cross_scenario,k_medoids,2538991366,5,8.0248e7,1.37305,CosineDist,closemixed,768784.275574,536,insample,none
cross_scenario,k_medoids,2909674750,5,9.94486e7,1.2287715,CosineDist,closemixed,1.261375867476e6,739,insample,none
cross_scenario,k_medoids,3018546641,5,7.52075e7,1.2198784,CosineDist,closemixed,638549.955801,502,insample,none
cross_scenario,k_medoids,3634057553,5,9.02542e7,1.1788476,CosineDist,closemixed,1.021599486699e6,621,insample,none
cross_scenario,k_medoids,4139823947,5,9.57268e7,1.2767274,CosineDist,closemixed,1.166126635935e6,682,insample,none
cross_scenario,k_medoids,4197766176,5,9.71055e7,1.2330027,CosineDist,closemixed,1.201305045355e6,666,insample,none
cross_scenario,k_medoids,5947179,5,9.48547e7,1.3002061,CosineDist,closemixed,1.143724062539e6,667,insample,none
cross_scenario,k_medoids,1006581332,7,8.3352e7,1.8599607,CosineDist,closemixed,849612.515311,575,insample,none
cross_scenario,k_medoids,1176932870,7,7.88783e7,2.2104526,CosineDist,closemixed,733232.618181,516,insample,none
cross_scenario,k_medoids,1821427372,7,9.47171e7,2.1238273,CosineDist,closemixed,1.131267985804e6,653,insample,none
cross_scenario,k_medoids,2689963385,7,9.56546e7,1.9824183,CosineDist,closemixed,1.159776914204e6,711,insample,none
cross_scenario,k_medoids,2751971336,7,7.59244e7,2.1183111,CosineDist,closemixed,652760.633354,438,insample,none
cross_scenario,k_medoids,3385142830,7,6.8917e7,2.0261762,CosineDist,closemixed,471702.692233,312,insample,none
cross_scenario,k_medoids,3409620994,7,7.9214e7,2.2285039,CosineDist,closemixed,736405.756448,471,insample,none
cross_scenario,k_medoids,447101461,7,9.55864e7,2.0809194,CosineDist,closemixed,1.162385459531e6,678,insample,none
