method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,2193967569,23,4.42126e7,11.7541884,CosineDist,centered,10564.721888,7
cross_scenario,k_medoids,2546464051,23,8.96921e7,12.3386837,CosineDist,centered,1.2226620127110002e6,242
cross_scenario,k_medoids,2938742229,23,4.42129e7,11.4442565,CosineDist,centered,8799.045331,7
cross_scenario,k_medoids,313447314,23,4.41895e7,11.0121341,CosineDist,centered,8357.248055,7
cross_scenario,k_medoids,3164855826,23,4.41957e7,11.721966,CosineDist,centered,7571.494972,7
cross_scenario,k_medoids,3173192974,23,4.41999e7,14.9528744,CosineDist,centered,8272.853016,7
cross_scenario,k_medoids,3527549645,23,4.4181e7,14.6227672,CosineDist,centered,8498.611191000002,7
cross_scenario,k_medoids,3913193451,23,4.41966e7,15.0061054,CosineDist,centered,6401.853268,7
cross_scenario,k_medoids,714332685,23,4.61267e7,11.1960433,CosineDist,centered,73402.86874399999,36
cross_scenario,k_medoids,890890131,23,4.63169e7,12.1881384,CosineDist,centered,78601.16568299998,41
cross_scenario,k_medoids,1134130444,25,4.66441e7,12.0099036,CosineDist,centered,87377.096361,51
cross_scenario,k_medoids,2658990538,25,8.89997e7,11.4084217,CosineDist,centered,1.2182987710699998e6,254
cross_scenario,k_medoids,2726541456,25,4.4206e7,11.2426399,CosineDist,centered,8268.951274000001,7
cross_scenario,k_medoids,2894918851,25,4.627e7,12.7057773,CosineDist,centered,76962.61627799997,41
cross_scenario,k_medoids,3351175237,25,9.38149e7,16.7555511,CosineDist,centered,1.3278526244060001e6,271
cross_scenario,k_medoids,343301208,25,9.85762e7,14.4452394,CosineDist,centered,1.458178698702e6,286
cross_scenario,k_medoids,4135971217,25,4.42248e7,13.1048866,CosineDist,centered,8895.41969,7
cross_scenario,k_medoids,4145110716,25,4.42046e7,11.550717,CosineDist,centered,8980.160712,7
cross_scenario,k_medoids,448376330,25,4.41879e7,13.7521307,CosineDist,centered,7267.0508709999995,7
cross_scenario,k_medoids,47449323,25,4.42313e7,14.5886622,CosineDist,centered,9023.949434999999,7
cross_scenario,k_medoids,1161276258,27,4.41993e7,16.7365814,CosineDist,centered,6729.037195000001,7
cross_scenario,k_medoids,1233541653,27,4.41932e7,13.2296542,CosineDist,centered,8126.155229,7
cross_scenario,k_medoids,1267936167,27,9.23803e7,16.8057263,CosineDist,centered,1.296027564996e6,269
cross_scenario,k_medoids,1653248667,27,4.41858e7,15.2849047,CosineDist,centered,7618.393722999999,7
cross_scenario,k_medoids,2437521778,27,4.422e7,14.1957676,CosineDist,centered,11232.093579,7
cross_scenario,k_medoids,2524306086,27,4.41943e7,12.1061414,CosineDist,centered,9280.88588,7
cross_scenario,k_medoids,2606414571,27,4.4205e7,13.4538237,CosineDist,centered,12259.830786999999,7
cross_scenario,k_medoids,2821296471,27,4.41848e7,14.2311066,CosineDist,centered,8557.326687,7
cross_scenario,k_medoids,3155655383,27,4.41979e7,13.0533148,CosineDist,centered,8792.95205,7
cross_scenario,k_medoids,463779685,27,4.42034e7,13.9373108,CosineDist,centered,10623.761683,7
cross_scenario,k_medoids,1113698075,29,4.42135e7,17.1620286,CosineDist,centered,9652.371865000001,7
cross_scenario,k_medoids,1125327650,29,4.41853e7,15.650281,CosineDist,centered,8304.392058,7
cross_scenario,k_medoids,1398119942,29,9.40153e7,20.7710282,CosineDist,centered,1.3410532894219998e6,268
cross_scenario,k_medoids,1669407957,29,4.41918e7,15.774516,CosineDist,centered,9170.447726999999,7
cross_scenario,k_medoids,1792506398,29,4.8264e7,14.5523558,CosineDist,centered,129623.023041,80
