method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,3093014142,17,4.45471e7,6.0718388,CosineDist,centered,8632.332187,7
cross_scenario,k_medoids,3258302586,17,1.22033e8,6.2260254,CosineDist,centered,2.0629576251130004e6,724
cross_scenario,k_medoids,3629043986,17,4.45662e7,6.0287221,CosineDist,centered,6462.032786,7
cross_scenario,k_medoids,1088367163,19,4.6617e7,5.6436763,CosineDist,centered,76437.044589,52
cross_scenario,k_medoids,1245540782,19,4.45903e7,5.9758092,CosineDist,centered,8392.848686,7
cross_scenario,k_medoids,2410109332,19,4.45277e7,6.2802953,CosineDist,centered,10234.344500000001,7
cross_scenario,k_medoids,2455416769,19,4.45514e7,5.7213355,CosineDist,centered,10369.661794,7
cross_scenario,k_medoids,2591120440,19,1.01425e8,6.0365269,CosineDist,centered,1.518715410263e6,386
cross_scenario,k_medoids,2650271871,19,4.45495e7,6.424455,CosineDist,centered,9029.308162000001,7
cross_scenario,k_medoids,2789252227,19,4.46963e7,6.2693092,CosineDist,centered,12473.326356999998,7
cross_scenario,k_medoids,3130995382,19,9.45543e7,5.9661901,CosineDist,centered,1.352116269638e6,293
cross_scenario,k_medoids,3357853995,19,4.46565e7,5.6384661,CosineDist,centered,13469.918862,7
cross_scenario,k_medoids,824849990,19,9.1208e7,5.675565,CosineDist,centered,1.252686335854e6,280
cross_scenario,k_medoids,1244389436,21,4.4529e7,5.6912791,CosineDist,centered,8412.90998,7
cross_scenario,k_medoids,1393653782,21,4.4549e7,6.057676,CosineDist,centered,7179.173644,7
cross_scenario,k_medoids,1761682951,21,4.45624e7,6.0422922,CosineDist,centered,7826.741859,7
cross_scenario,k_medoids,196162340,21,4.4552e7,5.8548971,CosineDist,centered,9138.606373,7
cross_scenario,k_medoids,1984034111,21,4.45316e7,5.6878903,CosineDist,centered,9872.08337,7
cross_scenario,k_medoids,2569047889,21,4.453e7,6.3022633,CosineDist,centered,9507.431194,7
cross_scenario,k_medoids,3286463093,21,9.89639e7,5.5216981,CosineDist,centered,1.459543150103e6,323
cross_scenario,k_medoids,4196464565,21,4.45452e7,6.0802405,CosineDist,centered,8809.728667,7
cross_scenario,k_medoids,744301781,21,1.12859e8,6.152882,CosineDist,centered,1.826526171297e6,501
cross_scenario,k_medoids,760014603,21,4.45607e7,6.7932058,CosineDist,centered,9065.491427,7
cross_scenario,k_medoids,2193967569,23,4.45572e7,6.1962338,CosineDist,centered,10564.721888,7
cross_scenario,k_medoids,2546464051,23,9.21596e7,6.0358365,CosineDist,centered,1.2777780669979998e6,273
cross_scenario,k_medoids,2938742229,23,4.45599e7,6.4740118,CosineDist,centered,8799.045331,7
cross_scenario,k_medoids,313447314,23,4.45346e7,6.2609168,CosineDist,centered,8357.248055,7
cross_scenario,k_medoids,3164855826,23,4.45169e7,6.3054885,CosineDist,centered,7571.494972,7
cross_scenario,k_medoids,3173192974,23,4.45688e7,6.2642531,CosineDist,centered,8272.853016,7
cross_scenario,k_medoids,3527549645,23,4.45282e7,6.5825687,CosineDist,centered,8498.611191000002,7
cross_scenario,k_medoids,3913193451,23,4.45257e7,6.6406765,CosineDist,centered,6401.853268,7
cross_scenario,k_medoids,714332685,23,4.63883e7,6.3084752,CosineDist,centered,70729.406914,43
cross_scenario,k_medoids,890890131,23,4.66393e7,6.1590526,CosineDist,centered,77357.80582400001,48
cross_scenario,k_medoids,1134130444,25,4.70548e7,5.639351,CosineDist,centered,88785.384112,57
