location,technology,rep_period,time_step,scenario,production
AUS,WindOn,9,9,cross,12455.600065000006
AUS,WindOn,9,10,cross,11843.864310000004
AUS,WindOn,9,11,cross,11723.568345000003
AUS,WindOn,9,12,cross,11832.706800000005
AUS,WindOn,9,13,cross,11640.461640000007
AUS,WindOn,9,14,cross,11455.674950000004
AUS,WindOn,9,15,cross,11314.087545000006
AUS,WindOn,9,16,cross,11293.894715000004
AUS,WindOn,9,17,cross,11262.164955000006
AUS,WindOn,9,18,cross,11582.297225000004
AUS,WindOn,9,19,cross,12011.362380000004
AUS,WindOn,9,20,cross,12493.370350000005
AUS,WindOn,9,21,cross,12748.038030000007
AUS,WindOn,9,22,cross,13079.730715000005
AUS,WindOn,9,23,cross,13071.198645000006
AUS,WindOn,9,24,cross,13414.057990000007
AUS,WindOn,10,1,cross,8797.163495000004
AUS,WindOn,10,2,cross,8847.164280000003
AUS,WindOn,10,3,cross,9077.186740000005
AUS,WindOn,10,4,cross,9143.263160000004
AUS,WindOn,10,5,cross,9182.752425000002
AUS,WindOn,10,6,cross,9226.404330000003
AUS,WindOn,10,7,cross,9265.337580000003
AUS,WindOn,10,8,cross,9222.421335000005
AUS,WindOn,10,9,cross,9071.581755000005
AUS,WindOn,10,10,cross,8914.874280000004
AUS,WindOn,10,11,cross,8727.162335000003
AUS,WindOn,10,12,cross,8866.065130000005
AUS,WindOn,10,13,cross,9019.341050000005
AUS,WindOn,10,14,cross,9169.964690000004
AUS,WindOn,10,15,cross,9308.627145000004
AUS,WindOn,10,16,cross,9621.010585000005
AUS,WindOn,10,17,cross,10037.121475000005
AUS,WindOn,10,18,cross,10225.131710000005
AUS,WindOn,10,19,cross,10255.911700000004
AUS,WindOn,10,20,cross,10195.850490000004
AUS,WindOn,10,21,cross,10086.389955000006
AUS,WindOn,10,22,cross,9859.330265000006
AUS,WindOn,10,23,cross,9598.523545000004
AUS,WindOn,10,24,cross,9682.311010000005
BEL,Gas,1,18,cross,109.98027306999984
BEL,Gas,4,3,cross,371.5329177261146
BEL,Gas,4,4,cross,371.5329177261146
BEL,Gas,4,6,cross,371.5329177261146
BEL,Gas,4,7,cross,371.5329177261146
BEL,Gas,4,12,cross,371.5329177261146
BEL,Gas,4,22,cross,371.5329177261146
BEL,Gas,4,23,cross,371.5329177261146
BEL,Gas,8,6,cross,371.5329177261146
BEL,Gas,8,7,cross,371.5329177261146
BEL,Gas,8,15,cross,371.5329177261146
BEL,Gas,8,18,cross,371.5329177261146
BEL,Gas,8,19,cross,495.3772236348195
BEL,Gas,8,20,cross,371.5329177261146
BEL,Gas,9,8,cross,123.84430590870488
BEL,Gas,9,9,cross,495.3772236348195
BEL,Gas,9,10,cross,123.84430590870488
BEL,Gas,9,17,cross,371.5329177261146
BEL,Gas,9,19,cross,371.5329177261146
BEL,Gas,10,4,cross,371.5329177261146
BEL,Gas,10,5,cross,495.3772236348195
BEL,Gas,10,6,cross,371.5329177261146
BEL,Gas,10,9,cross,123.84430590870488
BEL,Gas,10,10,cross,495.3772236348195
BEL,Gas,10,11,cross,123.84430590870488
BEL,Gas,10,12,cross,495.3772236348195
BEL,Gas,10,13,cross,387.1483576899998
BEL,Gas,10,14,cross,495.3772236348195
BEL,Gas,10,15,cross,495.3772236348195
BEL,Gas,10,16,cross,495.3772236348195
BEL,Gas,10,17,cross,123.84430590870488
BEL,Gas,10,18,cross,495.3772236348195
BEL,Gas,10,19,cross,495.3772236348195
BEL,Gas,10,20,cross,495.3772236348195
BEL,Gas,10,21,cross,371.5329177261146
BEL,WindOn,1,1,cross,4538.57604
BEL,WindOn,1,2,cross,4515.200208
BEL,WindOn,1,3,cross,4431.873689999999
BEL,WindOn,1,4,cross,4339.984926000001
BEL,WindOn,1,5,cross,4270.34763
BEL,WindOn,1,6,cross,4180.253514
BEL,WindOn,1,7,cross,4131.170303999999
BEL,WindOn,1,8,cross,4011.5631809999995
BEL,WindOn,1,9,cross,3864.06084
BEL,WindOn,1,10,cross,3701.511681
BEL,WindOn,1,11,cross,3002.5484009999996
BEL,WindOn,1,12,cross,2960.8059359999997
BEL,WindOn,1,13,cross,2822.906742
BEL,WindOn,1,14,cross,2540.760264
BEL,WindOn,1,15,cross,2365.415337
BEL,WindOn,1,16,cross,2085.192378
BEL,WindOn,1,17,cross,1996.532226
BEL,WindOn,1,18,cross,1954.1121239999998
BEL,WindOn,1,19,cross,1920.069927
BEL,WindOn,1,20,cross,1883.2454579999999
BEL,WindOn,1,21,cross,1874.081169
BEL,WindOn,1,22,cross,1889.314005
BEL,WindOn,1,23,cross,1965.813327
BEL,WindOn,1,24,cross,1999.6149389999998
BEL,WindOn,2,1,cross,6676.21053
BEL,WindOn,2,2,cross,6531.6911850000015
BEL,WindOn,2,3,cross,6334.405164
BEL,WindOn,2,4,cross,6098.900184
BEL,WindOn,2,5,cross,5954.062596
BEL,WindOn,2,6,cross,5946.982818
BEL,WindOn,2,7,cross,5946.333174
BEL,WindOn,2,8,cross,5872.548141
BEL,WindOn,2,9,cross,5803.994703
BEL,WindOn,2,10,cross,5740.949565
BEL,WindOn,2,11,cross,5289.145382999999
BEL,WindOn,2,12,cross,5349.420246000001
BEL,WindOn,2,13,cross,5336.270372999999
BEL,WindOn,2,14,cross,5591.82492
BEL,WindOn,2,15,cross,5960.5044689999995
BEL,WindOn,2,16,cross,6310.888464
BEL,WindOn,2,17,cross,6520.570482
BEL,WindOn,2,18,cross,6651.211233
BEL,WindOn,2,19,cross,6606.209196000001
BEL,WindOn,2,20,cross,6523.918032
BEL,WindOn,2,21,cross,6430.229718
BEL,WindOn,2,22,cross,6429.32904
BEL,WindOn,2,23,cross,6372.866126999999
BEL,WindOn,2,24,cross,6358.51707
BEL,WindOn,3,1,cross,4352.236959
BEL,WindOn,3,2,cross,4492.237563
BEL,WindOn,3,3,cross,4602.613962
BEL,WindOn,3,4,cross,4734.049095
BEL,WindOn,3,5,cross,4895.375721
BEL,WindOn,3,6,cross,5098.661273999999
BEL,WindOn,3,7,cross,5350.381167
BEL,WindOn,3,8,cross,5635.752
BEL,WindOn,3,9,cross,5935.9209390000005
BEL,WindOn,3,10,cross,6055.42641
BEL,WindOn,3,11,cross,5640.168443999999
BEL,WindOn,3,12,cross,5632.886265
BEL,WindOn,3,13,cross,5637.547680000001
BEL,WindOn,3,14,cross,5650.283076
BEL,WindOn,3,15,cross,5799.829293
BEL,WindOn,3,16,cross,6076.013004
BEL,WindOn,3,17,cross,6497.197359
BEL,WindOn,3,18,cross,6830.275874999999
BEL,WindOn,3,19,cross,6962.40606
BEL,WindOn,3,20,cross,6972.26166
BEL,WindOn,3,21,cross,6946.496103
BEL,WindOn,3,22,cross,6946.669479
BEL,WindOn,3,23,cross,6764.269929000001
BEL,WindOn,3,24,cross,6762.1509750000005
BEL,WindOn,4,1,cross,3507.905256
BEL,WindOn,4,2,cross,3370.387515
BEL,WindOn,4,3,cross,3262.861113
BEL,WindOn,4,4,cross,3175.929045
BEL,WindOn,4,5,cross,3069.061833
BEL,WindOn,4,6,cross,2948.551452
BEL,WindOn,4,7,cross,2883.493527
BEL,WindOn,4,8,cross,2898.401541
BEL,WindOn,4,9,cross,2897.217321
BEL,WindOn,4,10,cross,2716.487676
BEL,WindOn,4,11,cross,2284.692426
BEL,WindOn,4,12,cross,1916.25243
BEL,WindOn,4,13,cross,1751.292003
BEL,WindOn,4,14,cross,1816.38708
BEL,WindOn,4,15,cross,1952.0090370000003
BEL,WindOn,4,16,cross,2163.467385
BEL,WindOn,4,17,cross,2658.1952850000002
BEL,WindOn,4,18,cross,3170.952612
BEL,WindOn,4,19,cross,3459.9556979999998
BEL,WindOn,4,20,cross,3553.6976760000002
BEL,WindOn,4,21,cross,3526.897539
BEL,WindOn,4,22,cross,3429.0706470000005
BEL,WindOn,4,23,cross,3354.5781779999998
BEL,WindOn,4,24,cross,3266.3602379999998
BEL,WindOn,5,1,cross,9400.019214
BEL,WindOn,5,2,cross,9493.611165
BEL,WindOn,5,3,cross,9591.572474999999
BEL,WindOn,5,4,cross,9617.811978
BEL,WindOn,5,5,cross,9608.460638999999
BEL,WindOn,5,6,cross,9574.826211000001
BEL,WindOn,5,7,cross,9534.671607
BEL,WindOn,5,8,cross,9552.147753
BEL,WindOn,5,9,cross,9530.305731000002
BEL,WindOn,5,10,cross,9490.611786
