location,time_step,demand,scenario,period,timestep
BLK,3584,18091.5161723808,1900,150,8
BLK,3585,19987.1787294338,1900,150,9
BLK,3586,20980.4163513074,1900,150,10
BLK,3587,21211.3976755124,1900,150,11
BLK,3588,21348.2226047144,1900,150,12
BLK,3589,21318.5469832975,1900,150,13
BLK,3590,20771.607719742,1900,150,14
BLK,3591,20018.7383671933,1900,150,15
BLK,3592,19628.11523472,1900,150,16
BLK,3593,19417.9496560941,1900,150,17
BLK,3594,19355.4199916334,1900,150,18
BLK,3595,19647.7912235631,1900,150,19
BLK,3596,20389.5304920186,1900,150,20
BLK,3597,22276.0562127729,1900,150,21
BLK,3598,22807.4621549187,1900,150,22
BLK,3599,21338.8991989318,1900,150,23
BLK,3600,18851.9870468918,1900,150,24
BLK,7177,19361.2153837862,1900,300,1
BLK,7178,17835.4071053531,1900,300,2
BLK,7179,17049.1063041311,1900,300,3
BLK,7180,16728.3305308413,1900,300,4
BLK,7181,17216.0497326245,1900,300,5
BLK,7182,18901.1405406904,1900,300,6
BLK,7183,22235.7967227588,1900,300,7
BLK,7184,25151.5384012522,1900,300,8
BLK,7185,26438.898116441,1900,300,9
BLK,7186,26543.2746906262,1900,300,10
BLK,7187,26206.1317727296,1900,300,11
BLK,7188,26163.1123191667,1900,300,12
BLK,7189,25810.8135908622,1900,300,13
BLK,7190,25294.8745334912,1900,300,14
BLK,7191,24662.625315501,1900,300,15
BLK,7192,24570.6140277466,1900,300,16
BLK,7193,25847.4535686939,1900,300,17
BLK,7194,29041.686959918,1900,300,18
BLK,7195,30238.0981093195,1900,300,19
BLK,7196,29854.4698878957,1900,300,20
BLK,7197,28460.8536474059,1900,300,21
BLK,7198,26480.9005832247,1900,300,22
BLK,7199,24232.091610672,1900,300,23
BLK,7200,21749.6180114691,1900,300,24
BLT,1,1923.60242653387,1900,1,1
BLT,2,1799.95081255295,1900,1,2
BLT,3,1690.47496379062,1900,1,3
BLT,4,1629.71722829052,1900,1,4
BLT,5,1611.64042659996,1900,1,5
BLT,6,1652.16509901847,1900,1,6
BLT,7,1692.78117215786,1900,1,7
BLT,8,1720.31878808347,1900,1,8
BLT,9,1756.45596423183,1900,1,9
BLT,10,1885.11873197121,1900,1,10
BLT,11,1998.74796520876,1900,1,11
BLT,12,2069.76031104519,1900,1,12
BLT,13,2090.05003818012,1900,1,13
BLT,14,2107.4025903309,1900,1,14
BLT,15,2176.77798904002,1900,1,15
BLT,16,2393.93548333254,1900,1,16
BLT,17,2489.63987727977,1900,1,17
BLT,18,2477.40276211648,1900,1,18
BLT,19,2435.80640025652,1900,1,19
BLT,20,2370.97025376932,1900,1,20
BLT,21,2265.71914501924,1900,1,21
BLT,22,2092.30146469602,1900,1,22
BLT,23,1911.92848040596,1900,1,23
BLT,24,1726.19871143133,1900,1,24
BLT,3577,1477.64816818423,1900,150,1
BLT,3578,1394.16153664451,1900,150,2
BLT,3579,1338.10897825021,1900,150,3
BLT,3580,1255.65515043799,1900,150,4
BLT,3581,1250.76190557691,1900,150,5
BLT,3582,1377.64229199092,1900,150,6
BLT,3583,1607.11146594183,1900,150,7
BLT,3584,1868.27850734317,1900,150,8
BLT,3585,2052.13671058886,1900,150,9
BLT,3586,2124.12251286052,1900,150,10
BLT,3587,2112.06733535106,1900,150,11
BLT,3588,2076.40467910769,1900,150,12
BLT,3589,2056.11491337632,1900,150,13
BLT,3590,2027.90258879208,1900,150,14
BLT,3591,1991.58825538095,1900,150,15
BLT,3592,1955.07825050807,1900,150,16
BLT,3593,1935.70212310372,1900,150,17
BLT,3594,1930.77503152059,1900,150,18
BLT,3595,1931.98588147551,1900,150,19
BLT,3596,1888.7377298532,1900,150,20
BLT,3597,1866.04248569971,1900,150,21
BLT,3598,1844.25347100267,1900,150,22
BLT,3599,1701.42361922357,1900,150,23
BLT,3600,1499.17943296181,1900,150,24
BLT,7177,1588.94923306569,1900,300,1
BLT,7178,1555.59099405588,1900,300,2
BLT,7179,1530.65633855383,1900,300,3
BLT,7180,1571.36630813837,1900,300,4
BLT,7181,1723.11794701673,1900,300,5
BLT,7182,2164.01938080613,1900,300,6
BLT,7183,2531.35967280461,1900,300,7
BLT,7184,2915.24683810168,1900,300,8
BLT,7185,3078.7011871562,1900,300,9
BLT,7186,3061.15406353319,1900,300,10
BLT,7187,3006.28350090697,1900,300,11
BLT,7188,2889.54062338354,1900,300,12
BLT,7189,2967.15245105893,1900,300,13
BLT,7190,2949.76241593563,1900,300,14
BLT,7191,2927.79271010255,1900,300,15
BLT,7192,2936.91625021779,1900,300,16
BLT,7193,3088.28210948811,1900,300,17
BLT,7194,3129.67815239766,1900,300,18
BLT,7195,2983.34934605378,1900,300,19
BLT,7196,2829.79009633058,1900,300,20
BLT,7197,2574.42012134173,1900,300,21
BLT,7198,2234.5578536019,1900,300,22
BLT,7199,1928.28251598023,1900,300,23
BLT,7200,1699.1477405348,1900,300,24
CZE,1,2942.87979339732,1900,1,1
CZE,2,2840.94961531528,1900,1,2
CZE,3,2735.02217534768,1900,1,3
CZE,4,2656.07625310767,1900,1,4
CZE,5,2605.11116406665,1900,1,5
CZE,6,2508.17756334158,1900,1,6
CZE,7,2446.22000411524,1900,1,7
CZE,8,2378.26655206055,1900,1,8
CZE,9,2428.23232563018,1900,1,9
CZE,10,2891.9147043563,1900,1,10
CZE,11,3257.66416688595,1900,1,11
CZE,12,3385.57654722419,1900,1,12
CZE,13,3470.51836229255,1900,1,13
CZE,14,3530.4772905761,1900,1,14
CZE,15,3640.40199242928,1900,1,15
CZE,16,3709.35475995536,1900,1,16
CZE,17,3861.25071160702,1900,1,17
CZE,18,3981.16856817412,1900,1,18
CZE,19,3940.19663384703,1900,1,19
CZE,20,3784.3034203098,1900,1,20
CZE,21,3708.35544448397,1900,1,21
CZE,22,3363.59160685356,1900,1,22
CZE,23,3146.74014956139,1900,1,23
CZE,24,2854.94003191478,1900,1,24
CZE,3577,2258.29433362162,1900,150,1
CZE,3578,2092.0774784425,1900,150,2
CZE,3579,2032.35884783923,1900,150,3
CZE,3580,2008.47139559792,1900,150,4
CZE,3581,1938.7996598941,1900,150,5
CZE,3582,1758.64845757421,1900,150,6
CZE,3583,2075.15719977158,1900,150,7
CZE,3584,2473.28140379341,1900,150,8
CZE,3585,2882.35402342585,1900,150,9
CZE,3586,3210.80649174387,1900,150,10
CZE,3587,3465.60598231785,1900,150,11
CZE,3588,3617.8884903562,1900,150,12
CZE,3589,3423.80294089556,1900,150,13
CZE,3590,3348.15934213141,1900,150,14
CZE,3591,3159.05034522103,1900,150,15
CZE,3592,3176.96593440202,1900,150,16
CZE,3593,2991.83817953186,1900,150,17
CZE,3594,2735.04806793777,1900,150,18
CZE,3595,2635.51701693231,1900,150,19
CZE,3596,2631.5357748921,1900,150,20
CZE,3597,2615.61080673122,1900,150,21
CZE,3598,2637.50763795242,1900,150,22
CZE,3599,2493.18761399451,1900,150,23
CZE,3600,2181.65542434742,1900,150,24
CZE,7177,3341.69497537607,1900,300,1
CZE,7178,3363.79128222372,1900,300,2
CZE,7179,3245.27472731358,1900,300,3
CZE,7180,3162.91576542688,1900,300,4
CZE,7181,3261.34476865733,1900,300,5
CZE,7182,3795.67364333693,1900,300,6
CZE,7183,4849.26572893637,1900,300,7
CZE,7184,5238.96423152225,1900,300,8
CZE,7185,5393.63837945582,1900,300,9
CZE,7186,5525.21184295775,1900,300,10
CZE,7187,5385.60335878395,1900,300,11
CZE,7188,5374.55520536012,1900,300,12
CZE,7189,5493.07176027026,1900,300,13
CZE,7190,5480.01485167846,1900,300,14
CZE,7191,5397.65588979176,1900,300,15
CZE,7192,5398.66026737574,1900,300,16
CZE,7193,5410.71279838355,1900,300,17
CZE,7194,5688.92538914718,1900,300,18
CZE,7195,5425.77846214331,1900,300,19
CZE,7196,5325.34070374489,1900,300,20
CZE,7197,4882.41018920785,1900,300,21
CZE,7198,4328.99814043255,1900,300,22
CZE,7199,3766.54669340139,1900,300,23
CZE,7200,3410.99702867098,1900,300,24
DEN,1,3314.63540769944,1900,1,1
