location,technology,time_step,availability,scenario,period,timestep
BEL,SunPV,8,0.0,1900,1,8
BEL,SunPV,9,0.025,1900,1,9
BEL,SunPV,10,0.178,1900,1,10
BEL,SunPV,11,0.267,1900,1,11
BEL,SunPV,12,0.361,1900,1,12
BEL,SunPV,13,0.368,1900,1,13
BEL,SunPV,14,0.279,1900,1,14
BEL,SunPV,15,0.155,1900,1,15
BEL,SunPV,16,0.032,1900,1,16
BEL,SunPV,17,0.0,1900,1,17
BEL,SunPV,18,0.0,1900,1,18
BEL,SunPV,19,0.0,1900,1,19
BEL,SunPV,20,0.0,1900,1,20
BEL,SunPV,21,0.0,1900,1,21
BEL,SunPV,22,0.0,1900,1,22
BEL,SunPV,23,0.0,1900,1,23
BEL,SunPV,24,0.0,1900,1,24
BEL,SunPV,3577,0.0,1900,150,1
BEL,SunPV,3578,0.0,1900,150,2
BEL,SunPV,3579,0.0,1900,150,3
BEL,SunPV,3580,0.0,1900,150,4
BEL,SunPV,3581,0.005,1900,150,5
BEL,SunPV,3582,0.061,1900,150,6
BEL,SunPV,3583,0.179,1900,150,7
BEL,SunPV,3584,0.314,1900,150,8
BEL,SunPV,3585,0.434,1900,150,9
BEL,SunPV,3586,0.51,1900,150,10
BEL,SunPV,3587,0.527,1900,150,11
BEL,SunPV,3588,0.5,1900,150,12
BEL,SunPV,3589,0.476,1900,150,13
BEL,SunPV,3590,0.449,1900,150,14
BEL,SunPV,3591,0.376,1900,150,15
BEL,SunPV,3592,0.342,1900,150,16
BEL,SunPV,3593,0.307,1900,150,17
BEL,SunPV,3594,0.216,1900,150,18
BEL,SunPV,3595,0.096,1900,150,19
BEL,SunPV,3596,0.009,1900,150,20
BEL,SunPV,3597,0.0,1900,150,21
BEL,SunPV,3598,0.0,1900,150,22
BEL,SunPV,3599,0.0,1900,150,23
BEL,SunPV,3600,0.0,1900,150,24
BEL,SunPV,7177,0.0,1900,300,1
BEL,SunPV,7178,0.0,1900,300,2
BEL,SunPV,7179,0.0,1900,300,3
BEL,SunPV,7180,0.0,1900,300,4
BEL,SunPV,7181,0.0,1900,300,5
BEL,SunPV,7182,0.0,1900,300,6
BEL,SunPV,7183,0.0,1900,300,7
BEL,SunPV,7184,0.063,1900,300,8
BEL,SunPV,7185,0.228,1900,300,9
BEL,SunPV,7186,0.348,1900,300,10
BEL,SunPV,7187,0.407,1900,300,11
BEL,SunPV,7188,0.407,1900,300,12
BEL,SunPV,7189,0.338,1900,300,13
BEL,SunPV,7190,0.232,1900,300,14
BEL,SunPV,7191,0.177,1900,300,15
BEL,SunPV,7192,0.105,1900,300,16
BEL,SunPV,7193,0.008,1900,300,17
BEL,SunPV,7194,0.0,1900,300,18
BEL,SunPV,7195,0.0,1900,300,19
BEL,SunPV,7196,0.0,1900,300,20
BEL,SunPV,7197,0.0,1900,300,21
BEL,SunPV,7198,0.0,1900,300,22
BEL,SunPV,7199,0.0,1900,300,23
BEL,SunPV,7200,0.0,1900,300,24
BEL,WindOff,1,0.731,1900,1,1
BEL,WindOff,2,0.725,1900,1,2
BEL,WindOff,3,0.739,1900,1,3
BEL,WindOff,4,0.749,1900,1,4
BEL,WindOff,5,0.735,1900,1,5
BEL,WindOff,6,0.737,1900,1,6
BEL,WindOff,7,0.766,1900,1,7
BEL,WindOff,8,0.786,1900,1,8
BEL,WindOff,9,0.796,1900,1,9
BEL,WindOff,10,0.793,1900,1,10
BEL,WindOff,11,0.792,1900,1,11
BEL,WindOff,12,0.803,1900,1,12
BEL,WindOff,13,0.839,1900,1,13
BEL,WindOff,14,0.863,1900,1,14
BEL,WindOff,15,0.878,1900,1,15
BEL,WindOff,16,0.894,1900,1,16
