method,distance,num_periods,clustering,month,avg_total_cost,time,time_with_dispatch,scenario,scenario_cost
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,1992,5.4699677485077575e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,1995,6.523921567904155e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,1997,6.260071421021313e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,2002,5.5994602670752496e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,2008,6.551730239037391e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,2009,5.853472965764308e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,2012,5.8099329612770386e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,1900,5.438009115762739e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,1982,7.434071334542242e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,1987,6.480122563835267e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,1992,5.808586262582345e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,1995,6.070975106700325e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,1997,6.0023954124028064e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,2002,5.61964780128907e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,2008,6.113725862853657e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,2009,6.124948682702334e7
convex_hull,CityBlock,100,cross_scenario,6,6.151432310772835e7,118.4573916,146.8374979,2012,6.421840965057556e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,1900,5.7909224667332254e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,1982,5.64710416933618e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,1987,5.917065949415898e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,1992,6.21679145492498e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,1995,6.089157339535817e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,1997,6.328297307160914e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,2002,5.811062600421031e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,2008,5.621569678389463e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,2009,6.08237090501942e7
convex_hull,CityBlock,100,cross_scenario,7,5.920814427016471e7,81.878825,107.8817885,2012,5.7038023992277846e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,1900,5.1406149136526175e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,1982,6.591307448791491e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,1987,6.625028012465038e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,1992,6.102064842120113e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,1995,5.777377958325386e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,1997,6.852914746813399e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,2002,7.297420762320235e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,2008,5.943930598521604e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,2009,6.0153134800716154e7
convex_hull,CityBlock,100,cross_scenario,8,6.356293352824666e7,90.4569313,115.67214659999999,2012,7.216960765165162e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,1900,5.805590136954722e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,1982,6.685535657135689e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,1987,6.280493016498564e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,1992,5.961729231127079e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,1995,6.095119325835629e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,1997,6.3280709807015985e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,2002,6.875751434711573e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,2008,7.020156855425039e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,2009,6.469312614688813e7
convex_hull,CityBlock,100,cross_scenario,9,6.3672354038889885e7,75.4015928,101.9687904,2012,6.150594785811177e7
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,1900,8.296254386642396e7
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,1982,9.33861658096985e7
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,1987,1.1380754978239591e8
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,1992,9.403958139537555e7
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,1995,8.849069668793294e7
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,1997,1.2562638945287327e8
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,2002,8.82564258405259e7
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,2008,7.425298797551334e7
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,2009,9.018000041018303e7
convex_hull,CityBlock,150,cross_scenario,1,9.447118601310676e7,119.3418722,139.1885852,2012,9.370951891014522e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,1900,6.933610336318368e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,1982,6.874354384888297e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,1987,7.517146481345186e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,1992,7.918067793906875e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,1995,6.637550061603777e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,1997,7.518710411800456e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,2002,7.185006949165098e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,2008,6.334783142848763e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,2009,7.951936347635496e7
convex_hull,CityBlock,150,cross_scenario,10,7.24987216895335e7,108.7660935,130.623461,2012,7.627555780021173e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,1900,7.087863172174013e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,1982,7.606389134491405e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,1987,1.0546654646759534e8
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,1992,7.947068478462183e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,1995,9.628607701195979e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,1997,8.2617619733279e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,2002,8.622799719230735e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,2008,8.711865610760888e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,2009,6.980416125412644e7
convex_hull,CityBlock,150,cross_scenario,11,8.389692085511902e7,120.0977381,142.1003472,2012,8.503494293303743e7
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,1900,7.716131754455261e7
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,1982,1.13052008196284e8
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,1987,1.3110066886757305e8
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,1992,9.270036250535835e7
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,1995,1.1678998086518571e8
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,1997,1.0254570399972995e8
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,2002,1.0331302176680046e8
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,2008,1.1034272645870024e8
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,2009,9.720945448478723e7
convex_hull,CityBlock,150,cross_scenario,12,1.0469031197154185e8,126.8100864,147.1040199,2012,1.0268787502644688e8
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,1900,8.184605685807094e7
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,1982,9.599921766085166e7
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,1987,1.0926165897800002e8
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,1992,9.5544997633053e7
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,1995,7.756512800830741e7
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,1997,7.437911679176149e7
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,2002,7.291962554601559e7
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,2008,8.842059899739657e7
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,2009,1.1636467387850057e8
convex_hull,CityBlock,150,cross_scenario,2,9.105067407318252e7,146.1554596,168.6961927,2012,9.820566637986796e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,1900,6.80095683269486e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,1982,7.526993279483002e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,1987,1.0234554695258617e8
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,1992,6.958207918691532e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,1995,7.10893976744329e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,1997,8.205172818097374e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,2002,7.483627708437142e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,2008,7.793210113922258e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,2009,8.17704383718386e7
convex_hull,CityBlock,150,cross_scenario,3,7.804871168865359e7,133.472034,157.3753191,2012,7.760004717441656e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,1900,6.219238362870699e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,1982,7.018677338387406e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,1987,7.009805567442393e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,1992,7.04544711389266e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,1995,6.733559677041343e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,1997,6.852288662547743e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,2002,7.841903883624837e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,2008,7.171626774112493e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,2009,7.486241181669828e7
convex_hull,CityBlock,150,cross_scenario,4,7.115228415333669e7,153.0531162,177.5730006,2012,7.77349559174729e7
convex_hull,CityBlock,150,cross_scenario,5,6.037802862636095e7,161.1183029,185.9269712,1900,5.0452212233710416e7
convex_hull,CityBlock,150,cross_scenario,5,6.037802862636095e7,161.1183029,185.9269712,1982,7.168166711298472e7
convex_hull,CityBlock,150,cross_scenario,5,6.037802862636095e7,161.1183029,185.9269712,1987,6.163053470886386e7
convex_hull,CityBlock,150,cross_scenario,5,6.037802862636095e7,161.1183029,185.9269712,1992,5.464257548465608e7
convex_hull,CityBlock,150,cross_scenario,5,6.037802862636095e7,161.1183029,185.9269712,1995,6.5279674212275594e7
convex_hull,CityBlock,150,cross_scenario,5,6.037802862636095e7,161.1183029,185.9269712,1997,6.238161662808137e7
convex_hull,CityBlock,150,cross_scenario,5,6.037802862636095e7,161.1183029,185.9269712,2002,5.591032077889865e7
