method,distance,num_periods,clustering,avg_total_cost,time,scenario,scenario_cost
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,1987,1.128509233863681e8
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,1992,9.534174268787733e7
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,1995,8.796070219623084e7
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,1997,1.2375700460449436e8
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,2002,8.881397020588014e7
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,2008,7.374621611935748e7
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,2009,9.103319592434478e7
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,2012,9.339001265309475e7
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,1900,8.257787012767603e7
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,1982,9.289012468247512e7
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,1987,1.1203505001173379e8
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,1992,9.554099135140832e7
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,1995,8.800433175149208e7
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,1997,1.2258666031789854e8
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,2002,8.924387183582142e7
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,2008,7.430239235049155e7
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,2009,9.162327851149052e7
blended,CityBlock,150,group_scenario,9.418562861212753e7,161.1681975,2012,9.305171518078792e7
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,1900,9.257642771325874e7
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,1982,9.652835773351292e7
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,1987,1.3327898449460834e8
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,1992,9.932797747846797e7
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,1995,9.060404332513034e7
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,1997,1.4128436224816206e8
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,2002,9.918337227275598e7
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,2008,7.462953612641709e7
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,2009,9.303959210279289e7
blended,CityBlock,20,group_scenario,1.022301068365565e8,8.2008188,2012,1.0184841487045854e8
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,1900,8.452198866912165e7
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,1982,9.195431365804341e7
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,1987,1.1693717202012849e8
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,1992,9.505862964276883e7
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,1995,8.954626760677548e7
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,1997,1.2622934223647685e8
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,2002,8.95664611188544e7
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,2008,7.391868070227435e7
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,2009,9.003296942683676e7
blended,CityBlock,50,group_scenario,9.533975635042395e7,33.3660104,2012,9.563173842295927e7
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,1900,8.148467886020666e7
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,1982,9.268273588359228e7
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,1987,1.1423359226061624e8
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,1992,9.50871038151974e7
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,1995,8.708418392162606e7
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,1997,1.2514506844602834e8
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,2002,8.908270788806859e7
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,2008,7.403360040826997e7
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,2009,9.08400192135309e7
blended,CityBlock,100,per_scenario,9.427440990297109e7,78.2846269,2012,9.307040833257449e7
blended,CityBlock,150,per_scenario,9.413138094646448e7,156.7749101,1900,8.140783223984641e7
blended,CityBlock,150,per_scenario,9.413138094646448e7,156.7749101,1982,9.282771726990673e7
blended,CityBlock,150,per_scenario,9.413138094646448e7,156.7749101,1987,1.1396908518407983e8
blended,CityBlock,150,per_scenario,9.413138094646448e7,156.7749101,1992,9.452413388123253e7
blended,CityBlock,150,per_scenario,9.413138094646448e7,156.7749101,1995,8.740220219595924e7
