method,blended,month,learning_rate,avg_total_cost,time,time_with_dispatch,scenario,scenario_cost
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,2008,7.054625255254416e7
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,2009,7.584586980748263e7
cross_scenario,true,4,0.0001,7.217208644996549e7,31.7967039,53.135016199999995,2012,7.782014656052837e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,1982,6.712580910655802e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,1987,6.123948938642658e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,1992,5.4987506100523636e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,1995,6.229362352213891e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,1997,6.18522370828076e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,2002,5.661931937220843e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,2008,6.437183948255078e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,2009,5.741745806351264e7
cross_scenario,true,5,0.0001,6.0432999811880216e7,35.2840112,57.508689700000005,2012,5.798971619019531e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,1982,7.224997931302613e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,1987,6.358148273628422e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,1992,5.92624896568027e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,1995,5.989804727445562e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,1997,5.9390950295528725e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,2002,5.686238575658265e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,2008,6.0741756073300675e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,2009,6.011150934990223e7
cross_scenario,true,6,0.0001,6.180571216366523e7,36.1495408,58.3880894,2012,6.4152809017104074e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,1982,5.497025103876805e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,1987,6.527865559869499e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,1992,6.000304754333241e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,1995,5.994351877547555e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,1997,6.274316156745244e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,2002,5.677404148033626e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,2008,5.554166408615005e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,2009,5.9400958424463734e7
cross_scenario,true,7,0.0001,5.8959924450044885e7,28.7186851,51.5078142,2012,5.598402153573054e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,1982,6.429534765692726e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,1987,6.488572391941328e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,1992,6.135352733895968e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,1995,5.786368096629815e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,1997,6.831239624376374e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,2002,7.049448451048258e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,2008,5.9781704654702194e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,2009,5.9467073346571e7
cross_scenario,true,8,0.0001,6.4130811881082855e7,30.3376193,54.6009256,2012,7.07233682926278e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,1982,6.621037420502724e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,1987,6.21118743196019e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,1992,5.978567795304629e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,1995,6.107564184953434e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,1997,6.313955123234494e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,2002,6.73537384220714e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,2008,6.957149579592133e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,2009,6.417861658282554e7
cross_scenario,true,9,0.0001,6.387648358301534e7,30.9324015,53.0860688,2012,6.146138188676502e7
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,1982,9.988988921365333e7
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,1987,1.3561587523899785e8
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,1992,9.68643496180811e7
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,1995,8.760790802069941e7
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,1997,1.3696870916467342e8
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,2002,9.616248195471597e7
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,2008,7.350049911698438e7
group_scenario,true,1,0.0001,1.0181968035213861e8,28.7903361,47.711648800000006,2009,9.628521473329648e7
