method,clustering,blended,num_periods,cost,time,distance,data
cross_scenario,k_medoids,false,20,9.5850653645355e7,8.4900538,SqEuclidean,closest
cross_scenario,k_medoids,false,3,1.787525543407669e9,0.7634658,SqEuclidean,closest
cross_scenario,k_means,false,10,2.07285962124396e8,3.9888397,CityBlock,closest
cross_scenario,k_means,false,20,9.3919232583483e7,8.2468708,CityBlock,closest
cross_scenario,k_means,false,3,1.679520007706123e9,0.6302641,CityBlock,closest
cross_scenario,k_means,false,10,2.07285962124396e8,3.7931239,CosineDist,closest
cross_scenario,k_means,false,20,9.4287491078603e7,7.9659,CosineDist,closest
cross_scenario,k_means,false,3,1.679520007706123e9,0.6509796,CosineDist,closest
cross_scenario,k_means,false,10,2.07285962124396e8,3.7878319,SqEuclidean,closest
cross_scenario,k_means,false,20,9.3919232583483e7,8.6793365,SqEuclidean,closest
cross_scenario,k_means,false,3,1.679520007706123e9,0.6158239,SqEuclidean,closest
cross_scenario,convex_hull,false,10,7.39544823745695e8,2.7074922,CityBlock,uniform
cross_scenario,convex_hull,false,20,8.22538442923735e8,6.4233381,CityBlock,uniform
cross_scenario,convex_hull,false,3,1.069214259195428e10,0.5789173,CityBlock,uniform
cross_scenario,convex_hull,false,10,4.1990784047601e7,3.1929209,CosineDist,uniform
cross_scenario,convex_hull,false,20,4.192604830666e7,7.4725029,CosineDist,uniform
cross_scenario,convex_hull,false,3,3.922170005718562e9,0.6652154,CosineDist,uniform
cross_scenario,convex_hull,false,10,2.781913579796014e9,2.6249423,SqEuclidean,uniform
cross_scenario,convex_hull,false,20,7.39112681089372e8,6.6497406,SqEuclidean,uniform
cross_scenario,convex_hull,false,3,3.03583012433568e9,0.5766868,SqEuclidean,uniform
stochastic,stochastic,false,0,4.1920919488422e7,77.4083096,N/A,uniform
cross_scenario,k_medoids,false,10,5.343343050140656e10,3.0935269,CityBlock,uniform
cross_scenario,k_medoids,false,20,9.4922164532651e8,6.1537696,CityBlock,uniform
cross_scenario,k_medoids,false,3,4.765580090918972e11,0.5507998,CityBlock,uniform
cross_scenario,k_medoids,false,10,4.2949660905010414e10,2.6682552,CosineDist,uniform
cross_scenario,k_medoids,false,20,7.53437844251323e8,6.537535,CosineDist,uniform
cross_scenario,k_medoids,false,3,1.0335520255646701e11,0.9647568,CosineDist,uniform
cross_scenario,k_medoids,false,10,1.0022184523213388e11,2.3133736,SqEuclidean,uniform
cross_scenario,k_medoids,false,20,9.72353555252326e8,5.7761301,SqEuclidean,uniform
cross_scenario,k_medoids,false,3,4.227352687459358e11,0.5487504,SqEuclidean,uniform
cross_scenario,k_means,false,10,6.5974418880381676e10,2.854097,CityBlock,uniform
cross_scenario,k_means,false,20,1.538493764555584e9,6.0133173,CityBlock,uniform
cross_scenario,k_means,false,3,3.357201254009606e11,0.6618464,CityBlock,uniform
cross_scenario,k_means,false,10,6.96846008579143e10,2.2725894,CosineDist,uniform
cross_scenario,k_means,false,20,1.543450919095743e9,5.7166827,CosineDist,uniform
cross_scenario,k_means,false,3,3.1134860032884357e11,0.5246888,CosineDist,uniform
cross_scenario,k_means,false,10,6.951588579151779e10,2.4585644,SqEuclidean,uniform
cross_scenario,k_means,false,20,1.551443617177125e9,6.0494183,SqEuclidean,uniform
cross_scenario,k_means,false,3,4.6256363720447797e11,0.6775149,SqEuclidean,uniform
