method,distance,num_periods,clustering,avg_total_cost,time,scenario,scenario_cost
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,1992,9.894834489719659e7
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,1995,9.043267266191542e7
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,1997,1.4091732016938415e8
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,2002,9.820310542082456e7
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,2008,7.419913353130111e7
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,2009,9.275776091667166e7
blended,CityBlock,20,group_scenario,1.0179818216009966e8,8.2577606,2012,1.0123347160081345e8
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,1900,8.452473349859704e7
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,1982,9.195431970177221e7
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,1987,1.1693557061361964e8
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,1992,9.50585977283233e7
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,1995,8.954612878801584e7
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,1997,1.2621569372220542e8
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,2002,8.955921705547944e7
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,2008,7.391885083395027e7
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,2009,9.003051885395065e7
blended,CityBlock,50,group_scenario,9.533755996096106e7,32.0004048,2012,9.563196881369686e7
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,1900,8.148400805836791e7
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,1982,9.266954162060758e7
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,1987,1.1421795470974332e8
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,1992,9.508706649014595e7
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,1995,8.708517789585522e7
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,1997,1.2509647774815848e8
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,2002,8.907826448814648e7
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,2008,7.403376187897679e7
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,2009,9.083731350636575e7
blended,CityBlock,100,per_scenario,9.42660690323905e7,77.8182273,2012,9.307112392753744e7
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,1900,8.140873530099247e7
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,1982,9.281989972488734e7
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,1987,1.1395880640202293e8
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,1992,9.452460354423642e7
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,1995,8.740253890527478e7
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,1997,1.2467332428473124e8
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,2002,8.865763618137209e7
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,2008,7.41046024285276e7
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,2009,9.083084413024618e7
blended,CityBlock,150,per_scenario,9.41265400712061e7,134.1260172,2012,9.288440980976972e7
blended,CityBlock,20,per_scenario,9.879232274735916e7,7.8244494,1900,8.700476451002564e7
blended,CityBlock,20,per_scenario,9.879232274735916e7,7.8244494,1982,9.837825248051846e7
blended,CityBlock,20,per_scenario,9.879232274735916e7,7.8244494,1987,1.136858323505773e8
blended,CityBlock,20,per_scenario,9.879232274735916e7,7.8244494,1992,1.0021466894898583e8
blended,CityBlock,20,per_scenario,9.879232274735916e7,7.8244494,1995,9.354281475675547e7
