method,distance,num_periods,clustering,avg_total_cost,scenario_cost1900,scenario_cost1982,scenario_cost1987,scenario_cost1992,scenario_cost1995,scenario_cost1997,scenario_cost2002,scenario_cost2008,scenario_cost2009,scenario_cost2012,time
k_medoids,SqEuclidean,15,completescenario,9.43019921118879e7,8.091730111755285e7,9.267837262008452e7,1.1370939083991282e8,9.546638414429675e7,8.842229916852212e7,1.2578043913787149e8,8.858073451888439e7,7.235583327671477e7,9.082384954354593e7,9.428531675149333e7,131.6697027
k_medoids,SqEuclidean,2,completescenario,9.740125698707822e7,8.395530239455986e7,9.493337183084327e7,1.1418269931542405e8,1.000093309651385e8,9.12401337880722e7,1.3225739060262866e8,9.099985661775285e7,7.52727894160297e7,9.146853141499755e7,9.969316352533564e7,8.4154232
k_medoids,SqEuclidean,5,completescenario,9.599178360742947e7,7.957048838515532e7,9.638236337718982e7,1.1556710630061966e8,9.767268014591038e7,8.966971496783195e7,1.2929180251235178e8,9.035111690002051e7,7.231042977541693e7,9.526811206009479e7,9.383402164970356e7,29.1690298
k_medoids,SqEuclidean,100,crosscenario,9.445789189966998e7,7.95260440216404e7,9.317847176337004e7,1.1590859069962573e8,9.457470976711372e7,8.68221551645161e7,1.2897518402288273e8,8.856836510192361e7,7.284815435788077e7,9.079447599260056e7,9.338276810514608e7,78.904832
k_medoids,SqEuclidean,150,crosscenario,9.424284120640382e7,7.950464657606423e7,9.302980092499596e7,1.14412115839748e8,9.524413634485766e7,8.720717068348292e7,1.2684725622452763e8,8.867293713993603e7,7.279599508745615e7,9.055104942622015e7,9.41633038167494e7,136.9773446
k_medoids,SqEuclidean,20,crosscenario,1.1312850085207485e8,1.1954723045074442e8,1.1523369577217412e8,1.6734598482011586e8,1.0030644243016252e8,8.77524995422558e7,1.6272272738678914e8,1.0787631246821597e8,7.5477532545322e7,9.635736899299887e7,9.866521411196968e7,8.8729245
k_medoids,SqEuclidean,50,crosscenario,9.499749334031919e7,8.002490140406346e7,9.487558406668025e7,1.1723881930027339e8,9.522726866951336e7,8.708258236038831e7,1.320957605657436e8,8.76322906842529e7,7.16451455316257e7,9.046381911579312e7,9.36887617048577e7,32.9934436
k_medoids,SqEuclidean,10,perscenario,9.508025287409475e7,8.260551711092778e7,9.40793963457526e7,1.1205703853394517e8,9.691809625398546e7,8.949592956411967e7,1.2341283867712632e8,9.040727914588366e7,7.470138489462131e7,9.380654915092802e7,9.331849906365758e7,82.2271241
k_medoids,SqEuclidean,15,perscenario,9.467213284669548e7,8.210504315816537e7,9.41852568646086e7,1.116501804839738e8,9.629829617830078e7,8.910095378214109e7,1.2359110219063139e8,8.952371058581996e7,7.41906503322299e7,9.302210070199916e7,9.30540341890848e7,116.9498422
k_medoids,SqEuclidean,2,perscenario,1.2016996953529479e8,1.1017218390520933e8,1.3724242879961002e8,1.7855991403306615e8,1.0209454773871708e8,9.615421179942015e7,1.959443671534567e8,1.1067683949714977e8,6.966085831103204e7,9.43373644704526e7,1.0685697964483404e8,8.2332305
k_medoids,SqEuclidean,5,perscenario,9.694548248209065e7,8.105628988221236e7,9.726282707014641e7,1.2518524540647152e8,9.404517141231021e7,8.97316191222966e7,1.3354449252036819e8,9.050038640273537e7,7.202951431382453e7,8.957122523319635e7,9.652805345734489e7,30.9045176
