method,distance,num_periods,clustering,avg_total_cost,scenario_cost1900,scenario_cost1982,scenario_cost1987,scenario_cost1992,scenario_cost1995,scenario_cost1997,scenario_cost2002,scenario_cost2008,scenario_cost2009,scenario_cost2012,time
convex_hull,CosineDist,50,crosscenario,9.457233936647937e7,8.352188390622157e7,9.311896804172593e7,1.1241277151002069e8,9.532649164384869e7,8.895297747978683e7,1.2158678250791511e8,8.927526545170993e7,7.586206090725544e7,9.097235660674793e7,9.469383560956153e7,30.5738225
convex_hull,CosineDist,10,perscenario,9.440541475949511e7,8.42047681869718e7,9.258397045137945e7,1.1199805591672629e8,9.524276188913536e7,8.870256368113478e7,1.2181763389115302e8,8.942124970969313e7,7.587707880946133e7,9.071675147078077e7,9.348931358851522e7,81.3685254
convex_hull,CosineDist,15,perscenario,9.413626359424423e7,8.270328934156708e7,9.24751894543949e7,1.1277153129193744e8,9.503129593961999e7,8.801087639273384e7,1.231897653546751e8,8.88948532897474e7,7.451953073018377e7,9.056724496847148e7,9.319905917911124e7,145.4332873
convex_hull,CosineDist,2,perscenario,1.0263398903124544e8,9.114258797387435e7,1.030492569534398e8,1.165766497051919e8,1.0417649208573076e8,9.735018059201936e7,1.3014651389477178e8,9.842197259710315e7,8.316937657656875e7,1.0371112448077966e8,9.859573545297492e7,6.522026
convex_hull,CosineDist,5,perscenario,9.55887086889466e7,8.646819978246513e7,9.352028963207583e7,1.1354647517467627e8,9.591240950073856e7,8.969648190844065e7,1.2165913855992013e8,9.086017638187009e7,7.736833424208124e7,9.29941105280891e7,9.386147117910907e7,25.3253741
convex_hull,SqEuclidean,10,completescenario,9.457222000642112e7,8.34599828492321e7,9.386057359585136e7,1.1553921980103366e8,9.328332585717809e7,8.825098817563646e7,1.2432320890319973e8,8.852799030128193e7,7.493406290029557e7,8.9755995586712e7,9.378685209379017e7,68.5817689
convex_hull,SqEuclidean,15,completescenario,9.417771568769243e7,8.220290616429316e7,9.350277476604134e7,1.116099177467685e8,9.446972216776751e7,8.884731266826606e7,1.227248716213223e8,8.86992657565645e7,7.463569333807778e7,9.072179863008468e7,9.436289401773852e7,148.4914592
convex_hull,SqEuclidean,2,completescenario,9.798224088389796e7,8.66420946588774e7,9.466408642213628e7,1.301533681848326e8,9.464396715246958e7,8.685598168003894e7,1.2647098859979504e8,9.77347398918305e7,7.642663729187426e7,9.21383973046447e7,9.40921476524803e7,7.6719246
convex_hull,SqEuclidean,5,completescenario,9.62014744345747e7,8.415251694910765e7,9.618521590707311e7,1.218303806234287e8,9.311159454762076e7,8.771859148095298e7,1.2681520838281648e8,9.233805366611889e7,7.644658079559214e7,8.935657135498962e7,9.40600306380465e7,32.1397297
convex_hull,SqEuclidean,100,crosscenario,9.950125309428023e7,8.657874771274705e7,1.0232624364695351e8,1.3204381742330338e8,9.484626823404431e7,8.671854593297395e7,1.4465517722353336e8,9.11440017362826e7,7.166506719413829e7,9.072693961402154e7,9.430772222480428e7,76.650964
