rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
cross,k_medoids,1693313909,100,3.33011e9,4.29291e9,25.7383977,25.2992797,SqEuclidean,blended,255,553561.001117,insample,1990
cross,k_medoids,1693313909,100,3.33011e9,5.60796e9,26.6258159,24.015579,SqEuclidean,blended,349,1.829332455516e6,insample,1994
cross,k_medoids,1693313909,100,3.33011e9,4.77227e9,26.0695527,25.5990806,SqEuclidean,blended,303,973571.1046110002,insample,1998
cross,k_medoids,1693313909,100,3.33011e9,4.84981e9,25.9232935,25.4413574,SqEuclidean,blended,394,1.061947985037e6,insample,2004
cross,k_medoids,1693313909,100,3.33011e9,4.73565e9,28.2347117,29.9282253,SqEuclidean,blended,259,959140.5027310001,insample,2008
cross,k_medoids,1693313909,100,3.33011e9,5.25403e9,26.4632774,24.036019,SqEuclidean,blended,434,1.494665451111e6,insample,2011
cross,k_medoids,1693313909,100,3.33011e9,4.4751e9,25.8392299,23.7570304,SqEuclidean,blended,286,648265.3655020002,insample,2012
cross,k_medoids,1693313909,100,3.33011e9,4.92093e9,26.0992541,25.2843405,SqEuclidean,blended,312,1.1223146327619997e6,insample,2016
cross,k_medoids,2483487299,100,3.34539e9,1.1253e12,19.5421224,65.5208401,SqEuclidean,blended,532,7.087173330458e6,initial,initial
cross,k_medoids,2483487299,100,3.34539e9,5.57277e9,25.791777,26.7525828,SqEuclidean,blended,501,1.7993704770200003e6,insample,1982
cross,k_medoids,2483487299,100,3.34539e9,6.06455e9,26.8194345,24.6893766,SqEuclidean,blended,378,2.243258261364001e6,insample,1986
cross,k_medoids,2483487299,100,3.34539e9,4.25115e9,27.4002028,24.8968388,SqEuclidean,blended,217,522930.81526,insample,1990
cross,k_medoids,2483487299,100,3.34539e9,5.52271e9,25.9019914,26.4901929,SqEuclidean,blended,321,1.7555167830669996e6,insample,1994
cross,k_medoids,2483487299,100,3.34539e9,4.6724e9,27.1850062,23.7039069,SqEuclidean,blended,259,884695.203993,insample,1998
cross,k_medoids,2483487299,100,3.34539e9,4.75623e9,26.0786704,23.779869299999998,SqEuclidean,blended,335,979726.6156400001,insample,2004
cross,k_medoids,2483487299,100,3.34539e9,4.64631e9,30.4292894,30.207032,SqEuclidean,blended,207,881203.6456870001,insample,2008
cross,k_medoids,2483487299,100,3.34539e9,5.18258e9,26.9101193,25.4811397,SqEuclidean,blended,390,1.4333738721619996e6,insample,2011
cross,k_medoids,2483487299,100,3.34539e9,4.38863e9,25.5218716,23.354984400000003,SqEuclidean,blended,199,573072.4393719999,insample,2012
cross,k_medoids,2483487299,100,3.34539e9,4.81016e9,27.3907394,24.847869900000003,SqEuclidean,blended,244,1.0230891113100001e6,insample,2016
cross,k_medoids,2529186237,100,3.35229e9,1.32122e12,24.401405,66.5296483,SqEuclidean,blended,586,7.106195913969e6,initial,initial
cross,k_medoids,2529186237,100,3.35229e9,5.5129e9,27.5200499,25.4970788,SqEuclidean,blended,455,1.7345712834079997e6,insample,1982
cross,k_medoids,2529186237,100,3.35229e9,6.00896e9,26.7403713,23.8503745,SqEuclidean,blended,341,2.1826679678290007e6,insample,1986
cross,k_medoids,2529186237,100,3.35229e9,4.22869e9,26.1407524,25.5559488,SqEuclidean,blended,192,495865.103998,insample,1990
cross,k_medoids,2529186237,100,3.35229e9,5.53415e9,26.4232829,23.796071700000002,SqEuclidean,blended,302,1.7618596599179998e6,insample,1994
cross,k_medoids,2529186237,100,3.35229e9,4.6529e9,27.1345923,23.486118599999998,SqEuclidean,blended,228,860121.19331,insample,1998
cross,k_medoids,2529186237,100,3.35229e9,4.71857e9,27.145964,23.4674534,SqEuclidean,blended,271,936998.3875440002,insample,2004
cross,k_medoids,2529186237,100,3.35229e9,4.6373e9,29.640957,30.8334309,SqEuclidean,blended,186,867296.857144,insample,2008
cross,k_medoids,2529186237,100,3.35229e9,5.13883e9,26.1115107,24.9227427,SqEuclidean,blended,342,1.385303125689e6,insample,2011
cross,k_medoids,2529186237,100,3.35229e9,4.37962e9,25.8968211,23.0415666,SqEuclidean,blended,181,558161.1368190001,insample,2012
cross,k_medoids,2529186237,100,3.35229e9,4.80232e9,33.2238582,30.0700531,SqEuclidean,blended,208,1.0098964416679998e6,insample,2016
cross,k_medoids,2910484191,100,3.35848e9,1.40411e12,21.7828136,66.694405,SqEuclidean,blended,599,7.2338687168580005e6,initial,initial
cross,k_medoids,2910484191,100,3.35848e9,5.61663e9,26.1291526,24.464059499999998,SqEuclidean,blended,516,1.824677896017e6,insample,1982
cross,k_medoids,2910484191,100,3.35848e9,6.11118e9,25.5737503,25.4836001,SqEuclidean,blended,393,2.2711068149180007e6,insample,1986
cross,k_medoids,2910484191,100,3.35848e9,4.26143e9,25.7473941,24.768146,SqEuclidean,blended,224,515847.685267,insample,1990
cross,k_medoids,2910484191,100,3.35848e9,5.49577e9,26.5245182,25.6117828,SqEuclidean,blended,309,1.710810658907e6,insample,1994
cross,k_medoids,2910484191,100,3.35848e9,4.67242e9,25.2819405,24.8481318,SqEuclidean,blended,260,866036.571779,insample,1998
cross,k_medoids,2910484191,100,3.35848e9,4.78644e9,25.4669424,25.2539192,SqEuclidean,blended,351,991539.6170030002,insample,2004
cross,k_medoids,2910484191,100,3.35848e9,4.62589e9,29.6048425,29.3806884,SqEuclidean,blended,209,842774.5977660003,insample,2008
cross,k_medoids,2910484191,100,3.35848e9,5.21683e9,26.5610523,25.6985146,SqEuclidean,blended,386,1.450089721729e6,insample,2011
cross,k_medoids,2910484191,100,3.35848e9,4.40136e9,25.3838089,23.096184100000002,SqEuclidean,blended,208,566630.2964520002,insample,2012
cross,k_medoids,2910484191,100,3.35848e9,4.81467e9,25.498759,25.002648100000002,SqEuclidean,blended,251,1.0084984774150001e6,insample,2016
cross,k_medoids,2931455462,100,3.34531e9,1.22781e12,22.8935757,66.1556578,SqEuclidean,blended,630,7.440175107715e6,initial,initial
cross,k_medoids,2931455462,100,3.34531e9,5.55232e9,26.4143252,25.5186016,SqEuclidean,blended,452,1.7765836203110002e6,insample,1982
cross,k_medoids,2931455462,100,3.34531e9,6.09723e9,26.2257612,25.038213,SqEuclidean,blended,338,2.274310863617e6,insample,1986
cross,k_medoids,2931455462,100,3.34531e9,4.25281e9,25.670678,26.812808999999998,SqEuclidean,blended,191,521484.565299,insample,1990
cross,k_medoids,2931455462,100,3.34531e9,5.59609e9,25.0545412,26.883831400000002,SqEuclidean,blended,305,1.825534462867e6,insample,1994
cross,k_medoids,2931455462,100,3.34531e9,4.6963e9,25.57304,23.7060593,SqEuclidean,blended,225,906285.5220860003,insample,1998
cross,k_medoids,2931455462,100,3.34531e9,4.73634e9,25.3756856,24.7561128,SqEuclidean,blended,281,956004.760958,insample,2004
cross,k_medoids,2931455462,100,3.34531e9,4.71736e9,28.766396,30.2913775,SqEuclidean,blended,211,948399.258438,insample,2008
cross,k_medoids,2931455462,100,3.34531e9,5.22382e9,25.4724151,25.505474,SqEuclidean,blended,350,1.4723510832519997e6,insample,2011
cross,k_medoids,2931455462,100,3.34531e9,4.41488e9,26.1133908,24.6247605,SqEuclidean,blended,186,596673.5520119999,insample,2012
cross,k_medoids,2931455462,100,3.34531e9,4.8952e9,26.7494199,26.0154512,SqEuclidean,blended,240,1.104967677193e6,insample,2016
cross,k_medoids,3631457564,100,3.32966e9,1.27964e12,22.7533668,65.6756017,SqEuclidean,blended,596,7.106647782102001e6,initial,initial
cross,k_medoids,3631457564,100,3.32966e9,5.7129e9,25.6923152,24.2829765,SqEuclidean,blended,506,1.918489073364e6,insample,1982
cross,k_medoids,3631457564,100,3.32966e9,6.30747e9,25.3984607,24.9787186,SqEuclidean,blended,383,2.465593159668001e6,insample,1986
cross,k_medoids,3631457564,100,3.32966e9,4.30375e9,26.4928618,25.0800777,SqEuclidean,blended,214,555478.2604149999,insample,1990
