rp,clustering,seed,num_periods,investment_cost,data,windon,windoff,solar
cross,k_medoids,856316037,800,4.16151e9,blended,2.6041526836464e7,1.061160149265e7,2.5521232683874004e7
cross,k_means,1005471400,100,4.07662e9,blended,2.6017844630307e7,9.919882198144e6,2.5514369637558002e7
cross,k_means,1262311769,100,4.08139e9,blended,2.6017299155259e7,9.921267956024999e6,2.5649595711118e7
cross,k_means,1400059389,100,4.08263e9,blended,2.6017514843501e7,9.922902825403e6,2.5679654448899e7
cross,k_means,1693313909,100,4.09096e9,blended,2.6017865888124e7,1.0006616688527e7,2.5629452947754e7
cross,k_means,2483487299,100,4.07977e9,blended,2.6017792438589e7,9.920513253620999e6,2.5604100918577e7
cross,k_means,2529186237,100,4.08073e9,blended,2.6017769948937e7,9.92111555525e6,2.5629840003184e7
cross,k_means,2910484191,100,4.08944e9,blended,2.6017051617257e7,1.0005811429949e7,2.5590007515404e7
cross,k_means,2931455462,100,4.08475e9,blended,2.6017477757825e7,9.922439185586e6,2.574312050449e7
cross,k_means,3631457564,100,4.07717e9,blended,2.6017844386107e7,9.923352973041e6,2.5518411994069003e7
cross,k_means,472808301,100,4.08876e9,blended,2.6017067542357e7,1.0006792876305e7,2.5566734654704e7
cross,k_means,1516602964,20,3.89581e9,blended,2.5256001875668e7,8.917809073742e6,2.545913006921e7
cross,k_means,1886534858,20,3.90354e9,blended,2.5313094169042e7,8.939974139832e6,2.5478508263815004e7
cross,k_means,2317698438,20,3.89768e9,blended,2.5256463950092003e7,8.917288804758e6,2.5514324423334e7
cross,k_means,2466700586,20,3.89652e9,blended,2.5256844292483002e7,8.916348516734999e6,2.5483053028239e7
cross,k_means,2692059346,20,3.89245e9,blended,2.5256773706623003e7,8.917475448322e6,2.5360886395912e7
cross,k_means,3032526906,20,3.89271e9,blended,2.522926547662e7,8.915373171373999e6,2.5437682132356e7
cross,k_means,3214418042,20,3.89388e9,blended,2.5270453849598e7,8.917772902610999e6,2.5370710241180003e7
cross,k_means,3217763985,20,3.89016e9,blended,2.5256781279431e7,8.915022401321e6,2.5302619574559998e7
cross,k_means,3272403283,20,3.89561e9,blended,2.5256499509793002e7,8.918188027616e6,2.5450918214167e7
cross,k_means,408956147,20,3.89406e9,blended,2.5270023743331e7,8.918060397222e6,2.5375793488158002e7
cross,k_means,1040218444,200,4.20823e9,blended,2.6017112601934e7,1.1e7,2.5582567890813e7
cross,k_means,1498923158,200,4.20631e9,blended,2.6017648477668e7,1.1e7,2.5525579521723e7
cross,k_means,1571330722,200,4.08884e9,blended,2.6017371621967e7,1.0009605473654e7,2.5558424968663003e7
cross,k_means,2110474755,200,4.20706e9,blended,2.601696997146e7,1.1e7,2.5548778338351e7
cross,k_means,2358156674,200,4.08991e9,blended,2.6017533229461e7,1.0011883940385e7,2.5581281045500003e7
cross,k_means,2454944798,200,4.20785e9,blended,2.6017534496128e7,1.1e7,2.5570618120226e7
cross,k_means,3126457023,200,4.08936e9,blended,2.60170704438e7,1.0009584385327e7,2.5574368152762e7
cross,k_means,4093639103,200,4.20844e9,blended,2.6016959281978e7,1.1e7,2.5589172697347e7
cross,k_means,4109171108,200,4.20788e9,blended,2.6016975804686e7,1.1e7,2.5572783461912e7
cross,k_means,535977374,200,4.08992e9,blended,2.6017492099305e7,1.0009871969277e7,2.5588698614777997e7
cross,k_means,2427280835,400,4.20827e9,blended,2.6017659662831e7,1.1e7,2.5582567890813e7
cross,k_means,2619392602,400,4.20812e9,blended,2.6017360085237e7,1.1e7,2.5578932580548e7
cross,k_means,2782517393,400,4.20715e9,blended,2.6017380414174e7,1.1e7,2.555067841133e7
cross,k_means,312313452,400,4.20829e9,blended,2.6017883288862e7,1.1e7,2.5582497574911e7
cross,k_means,31988942,400,4.20755e9,blended,2.6017467597671e7,1.1e7,2.5561954266967997e7
cross,k_means,3299859308,400,4.20847e9,blended,2.601725316962e7,1.1e7,2.5589172697347e7
cross,k_means,3416848122,400,4.20654e9,blended,2.6017371368304e7,1.1e7,2.5532791431204e7
cross,k_means,4200777459,400,4.20822e9,blended,2.601706267472e7,1.1e7,2.5582567890813e7
cross,k_means,562750908,400,4.20825e9,blended,2.6017371083764e7,1.1e7,2.5582567890813e7
cross,k_means,938822533,400,4.08992e9,blended,2.6018226490267e7,1.0021503262151e7,2.5546583180338e7
cross,k_means,123456789,50,4.07682e9,blended,2.6017834364994e7,9.908737399927998e6,2.5559269528063e7
cross,k_means,1286268702,50,4.02875e9,blended,2.6018278419517e7,9.491252690694e6,2.5613797311437e7
cross,k_means,1308502331,50,4.0132e9,blended,2.6018149806077e7,9.335075741057e6,2.5706017970196e7
cross,k_means,1573928461,50,4.01375e9,blended,2.6018288236343e7,9.334947955377e6,2.5721999659028e7
cross,k_means,1991051616,50,4.03069e9,blended,2.6017943111338e7,9.494190976186e6,2.5660989815357e7
cross,k_means,2678701235,50,4.0781e9,blended,2.6017720124681e7,9.908794169236999e6,2.5596548581911e7
cross,k_means,3861234567,50,4.09285e9,blended,2.6017216853649e7,1.000367720655e7,2.5696193524482e7
cross,k_means,477073181,50,4.02878e9,blended,2.6018118401302e7,9.495057938312e6,2.5602037353746e7
cross,k_means,876543210,50,4.0325e9,blended,2.6018010450028e7,9.493364522425e6,2.5716302977931004e7
cross,k_means,987654321,50,4.02827e9,blended,2.6017670305816e7,9.491349413909e6,2.5601019100983e7
cross,k_means,1090113321,800,4.20714e9,blended,2.6017981378326e7,1.1e7,2.554889295063e7
cross,k_means,1155602729,800,4.20744e9,blended,2.6018088568054e7,1.1e7,2.5557265048409e7
cross,k_means,2122787014,800,4.20892e9,blended,2.6023865162117e7,1.1002816655473e7,2.5577631881423e7
cross,k_means,2889623452,800,4.20697e9,blended,2.6017994148207e7,1.1e7,2.5543910969430003e7
cross,k_means,3011269584,800,4.20699e9,blended,2.6018446773836e7,1.1e7,2.5543576156395998e7
cross,k_means,3664645650,800,4.20655e9,blended,2.6018146850857e7,1.1e7,2.5531289057985e7
cross,k_means,3840754868,800,4.20641e9,blended,2.6018156311542e7,1.1e7,2.5527165320534e7
cross,k_means,4064985653,800,4.20802e9,blended,2.6018281622108e7,1.1010584567931e7,2.5536971349861998e7
cross,k_means,4280644831,800,4.20893e9,blended,2.601792092436e7,1.1014995134667e7,2.5548778338351e7
cross,k_means,856316037,800,4.20651e9,blended,2.6017653215998e7,1.1e7,2.5531289057985e7
per,k_medoids,1005471400,100,4.07129e9,blended,2.601939321263e7,9.862420203135e6,2.5555966095189e7
per,k_medoids,1262311769,100,3.99047e9,blended,2.6140815750412e7,9.106635532988e6,2.5564334362391997e7
per,k_medoids,1400059389,100,4.02707e9,blended,2.6019475775443e7,9.492119682817e6,2.5559215453862e7
per,k_medoids,1693313909,100,4.05209e9,blended,2.6028234105257e7,9.703217368409999e6,2.5532125252551e7
per,k_medoids,2483487299,100,4.03345e9,blended,2.5505939220893e7,9.871715534609e6,2.5578326465446997e7
per,k_medoids,2529186237,100,4.08485e9,blended,2.6025189493143e7,9.961661694693998e6,2.5591977105506e7
