rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
per,convex_hull,1,200,4.21011e9,4.45525e9,29.7690083,30.2579149,SqEuclidean,blended,184,705203.228829,insample,2004
per,convex_hull,1,200,4.21011e9,4.58297e9,32.7337242,31.3631852,SqEuclidean,blended,154,845974.571161,insample,2008
per,convex_hull,1,200,4.21011e9,4.78815e9,32.1866414,34.0867497,SqEuclidean,blended,235,1.066910894324e6,insample,2011
per,convex_hull,1,200,4.21011e9,4.24507e9,32.6840186,30.1540739,SqEuclidean,blended,123,458230.09746500006,insample,2012
per,convex_hull,1,200,4.21011e9,4.62722e9,33.1775204,35.379243200000005,SqEuclidean,blended,157,867626.035336,insample,2016
per,convex_hull,1,50,4.20664e9,7.00476e11,12.4543946,80.0384531,SqEuclidean,blended,3611,3.9168349713322e7,initial,initial
per,convex_hull,1,50,4.20664e9,5.13971e9,38.2122504,40.0961974,SqEuclidean,blended,314,1.3967122423190002e6,insample,1982
per,convex_hull,1,50,4.20664e9,5.6492e9,37.5530591,38.347833699999995,SqEuclidean,blended,254,1.858222973183e6,insample,1986
per,convex_hull,1,50,4.20664e9,4.1515e9,36.6427871,37.7522646,SqEuclidean,blended,137,452456.89691,insample,1990
per,convex_hull,1,50,4.20664e9,5.49372e9,37.5279224,36.8813308,SqEuclidean,blended,267,1.7562071154879995e6,insample,1994
per,convex_hull,1,50,4.20664e9,4.57472e9,41.4205092,40.6110257,SqEuclidean,blended,172,817048.826478,insample,1998
per,convex_hull,1,50,4.20664e9,4.52366e9,36.8976669,37.9972421,SqEuclidean,blended,206,774020.0159700001,insample,2004
per,convex_hull,1,50,4.20664e9,4.59979e9,34.9801574,37.8741126,SqEuclidean,blended,163,863008.6396479999,insample,2008
per,convex_hull,1,50,4.20664e9,4.8213e9,36.7981962,37.6441459,SqEuclidean,blended,245,1.10041068094e6,insample,2011
per,convex_hull,1,50,4.20664e9,4.26623e9,36.6055089,40.2803086,SqEuclidean,blended,126,479634.7405210001,insample,2012
per,convex_hull,1,50,4.20664e9,4.65284e9,35.3388749,35.590567799999995,SqEuclidean,blended,167,893509.1502189998,insample,2016
per,conical_bounded,2,100,1.21434e9,4.12701e9,32.2254593,54.3839182,SqEuclidean,blended,99,383786.690229,initial,initial
per,conical_bounded,2,200,1.29481e9,4.47447e9,114.9120109,70.1274856,SqEuclidean,blended,211,876683.063018,initial,initial
per,conical_bounded,2,50,1.06305e9,4.24786e9,11.481853,47.4033996,SqEuclidean,blended,55,340218.640197,initial,initial
per,convex_hull,2,100,1.27654e9,4.00014e9,34.4476951,53.8200291,SqEuclidean,blended,87,127353.511854,initial,initial
per,convex_hull,2,20,9.90369e8,3.43671e9,4.5544017,60.1772511,SqEuclidean,blended,3,11618.320731999998,initial,initial
per,convex_hull,2,200,1.5509e9,4.26977e9,85.4975444,62.3145676,SqEuclidean,blended,182,448384.49719499995,initial,initial
per,convex_hull,2,50,1.08034e9,3.60534e9,13.3028634,52.9935253,SqEuclidean,blended,27,35209.472673,initial,initial
per,conical_bounded,3,100,1.21434e9,4.12701e9,38.4855623,65.1895521,SqEuclidean,blended,99,383786.690229,initial,initial
per,conical_bounded,3,20,8.23358e8,3.90689e9,4.2568121,56.0457947,SqEuclidean,blended,5,5618.241307,initial,initial
per,conical_bounded,3,200,1.29481e9,4.47447e9,123.6302674,78.728177,SqEuclidean,blended,211,876683.063018,initial,initial
per,conical_bounded,3,50,1.06305e9,4.24786e9,10.9169655,49.0866793,SqEuclidean,blended,55,340218.640197,initial,initial
per,convex_hull,3,100,1.27654e9,4.00014e9,31.7684327,69.5752417,SqEuclidean,blended,87,127353.511854,initial,initial
per,convex_hull,3,20,9.90369e8,3.43671e9,4.0908606,53.7945838,SqEuclidean,blended,3,11618.320731999998,initial,initial
per,convex_hull,3,200,1.5509e9,4.26977e9,90.4222428,59.8876628,SqEuclidean,blended,182,448384.49719499995,initial,initial
per,convex_hull,3,50,1.08034e9,3.60534e9,12.9965485,51.7497124,SqEuclidean,blended,27,35209.472673,initial,initial
per,conical_bounded,4,100,1.21434e9,4.12701e9,40.3924403,74.1282572,SqEuclidean,blended,99,383786.690229,initial,initial
per,conical_bounded,4,20,8.23358e8,3.90689e9,3.7668511,50.7595268,SqEuclidean,blended,5,5618.241307,initial,initial
per,conical_bounded,4,200,1.29481e9,4.47447e9,112.9635013,65.3060445,SqEuclidean,blended,211,876683.063018,initial,initial
per,conical_bounded,4,50,1.06305e9,4.24786e9,11.4648762,49.3842867,SqEuclidean,blended,55,340218.640197,initial,initial
per,convex_hull,4,100,1.27654e9,4.00014e9,31.6501883,56.8926546,SqEuclidean,blended,87,127353.511854,initial,initial
per,convex_hull,4,20,9.90369e8,3.43671e9,3.8868711,49.021148,SqEuclidean,blended,3,11618.320731999998,initial,initial
per,convex_hull,4,200,1.5509e9,4.26977e9,84.5882289,56.0089455,SqEuclidean,blended,182,448384.49719499995,initial,initial
per,convex_hull,4,50,1.08034e9,3.60534e9,14.5798508,59.8665448,SqEuclidean,blended,27,35209.472673,initial,initial
per,conical_bounded,5,100,1.21434e9,4.12701e9,37.4959305,67.66843560000001,SqEuclidean,blended,99,383786.690229,initial,initial
per,conical_bounded,5,20,8.23358e8,3.90689e9,3.5017037,46.6432234,SqEuclidean,blended,5,5618.241307,initial,initial
per,conical_bounded,5,200,1.29481e9,4.47447e9,101.3677639,56.6252314,SqEuclidean,blended,211,876683.063018,initial,initial
per,conical_bounded,5,50,1.06305e9,4.24786e9,11.886948,50.9429668,SqEuclidean,blended,55,340218.640197,initial,initial
per,convex_hull,5,100,1.27654e9,4.00014e9,31.5167547,58.4456649,SqEuclidean,blended,87,127353.511854,initial,initial
per,convex_hull,5,20,9.90369e8,3.43671e9,3.8796316,51.242261799999994,SqEuclidean,blended,3,11618.320731999998,initial,initial
per,convex_hull,5,200,1.5509e9,4.26977e9,83.758983,56.3289115,SqEuclidean,blended,182,448384.49719499995,initial,initial
per,convex_hull,5,50,1.08034e9,3.60534e9,13.2208461,57.3276612,SqEuclidean,blended,27,35209.472673,initial,initial
per,k_medoids,1005471400,100,4.07129e9,4.75261e11,25.7134432,68.43251860000001,SqEuclidean,blended,3620,3.9202935285987005e7,initial,initial
per,k_medoids,1005471400,100,4.07129e9,5.1054e9,30.8988971,29.213119,SqEuclidean,blended,314,1.3689258569060003e6,insample,1982
per,k_medoids,1005471400,100,4.07129e9,5.62307e9,32.896075,32.051235,SqEuclidean,blended,245,1.838576650114e6,insample,1986
per,k_medoids,1005471400,100,4.07129e9,4.1071e9,43.5388917,43.7366068,SqEuclidean,blended,135,414079.121123,insample,1990
per,k_medoids,1005471400,100,4.07129e9,5.3862e9,30.5051893,29.4977553,SqEuclidean,blended,243,1.655538526892e6,insample,1994
per,k_medoids,1005471400,100,4.07129e9,4.48074e9,40.0338228,37.289195199999995,SqEuclidean,blended,152,729344.812507,insample,1998
per,k_medoids,1005471400,100,4.07129e9,4.43482e9,35.8473802,33.3734807,SqEuclidean,blended,173,691498.7447800001,insample,2004
per,k_medoids,1005471400,100,4.07129e9,4.51745e9,32.9352742,33.4060657,SqEuclidean,blended,145,787202.2000620002,insample,2008
per,k_medoids,1005471400,100,4.07129e9,4.74249e9,33.1107753,31.9529079,SqEuclidean,blended,227,1.027712820869e6,insample,2011
