location,rep_period,time_step,scenario,loss_of_load
NOR,1,689,1982,8385.710059235185
NOR,1,690,1982,11814.489511515274
NOR,1,2,1987,2024.7805351094348
NOR,1,3,1987,5711.984200349122
NOR,1,4,1987,8408.656279129424
NOR,1,5,1987,9768.978557313967
NOR,1,6,1987,10919.633226706286
NOR,1,7,1987,12755.05721395246
NOR,1,8,1987,13249.96657925271
NOR,1,9,1987,12598.64771553166
NOR,1,10,1987,11324.979866320384
NOR,1,11,1987,521.3926373241648
NOR,1,69,1987,1484.4987776328135
NOR,1,70,1987,4301.201789286003
NOR,1,71,1987,4249.866323952766
NOR,1,72,1987,7205.618051077889
NOR,1,73,1987,10369.602856675878
NOR,1,74,1987,12430.162103847799
NOR,1,75,1987,13272.490348768924
NOR,1,76,1987,10006.79393489975
NOR,1,141,1987,6835.951373551994
NOR,1,142,1987,7355.428044594971
NOR,1,143,1987,5707.236393329667
NOR,1,144,1987,4594.8771683857685
NOR,1,158,1987,3493.0568481360533
NOR,1,159,1987,10381.56768071092
NOR,1,160,1987,13985.851322234263
NOR,1,161,1987,15341.586793910947
NOR,1,162,1987,15667.779548246943
SWE,1,162,1987,100.53374807316209
NOR,1,163,1987,15502.650931588041
NOR,1,164,1987,14241.920169988587
NOR,1,165,1987,12365.64297099697
NOR,1,166,1987,7958.8116112196785
NED,1,171,1987,719.518523268526
POL,1,228,1987,90.75354389564791
POL,1,229,1987,99.08307778461176
NOR,1,365,1987,703.6672346838095
NOR,1,366,1987,5226.514512864213
NOR,1,367,1987,9249.933245502645
NOR,1,368,1987,10230.418933787256
NOR,1,369,1987,8587.58216191002
NOR,1,370,1987,4516.924288855487
NOR,1,376,1987,2595.9341514252283
NOR,1,377,1987,2923.7139113884386
NOR,1,378,1987,3651.7104390586665
NOR,1,379,1987,4504.874633841648
NOR,1,380,1987,6794.7446628917605
NOR,1,381,1987,5917.434217421298
NOR,1,382,1987,359.7306655548691
NED,1,400,1987,1482.496974800073
NED,1,401,1987,5978.449716682395
NED,1,402,1987,7295.634946486904
NED,1,403,1987,6703.900965632324
NED,1,404,1987,5758.251506881704
NED,1,405,1987,4064.5010116239428
NED,1,406,1987,3296.1798293157194
NED,1,407,1987,3980.206648448837
NED,1,408,1987,3819.055830904231
NED,1,409,1987,2558.172321763505
NED,1,410,1987,871.8694745729283
NED,1,431,1987,1432.713208260829
NED,1,432,1987,2582.898449052599
NED,1,433,1987,2799.5724785971606
NED,1,434,1987,3032.3923583056167
NED,1,435,1987,3250.7177412698657
NED,1,436,1987,3987.6645057421238
NED,1,437,1987,4816.733620998495
NED,1,438,1987,4602.6000381678605
