location,technology,rep_period,time_step,scenario,production
BLK,Nuclear,1,19,1982,13000.0
BLK,Nuclear,1,20,1982,13000.0
BLK,Nuclear,1,21,1982,11523.681533888972
BLK,Nuclear,1,22,1982,9879.145868099786
BLK,Nuclear,1,23,1982,7279.145868099785
BLK,Nuclear,1,24,1982,6810.529402386426
BLK,Nuclear,2,1,1982,2393.855510226089
BLK,Nuclear,2,2,1982,2622.59811583975
BLK,Nuclear,2,3,1982,1889.9910607816455
BLK,Nuclear,2,5,1982,2263.0862138495177
BLK,Nuclear,2,6,1982,4863.086213849518
BLK,Nuclear,2,7,1982,7463.086213849518
BLK,Nuclear,2,8,1982,10063.086213849518
BLK,Nuclear,2,9,1982,12663.086213849518
BLK,Nuclear,2,10,1982,11355.456755682755
BLK,Nuclear,2,11,1982,12425.825214451912
BLK,Nuclear,2,12,1982,9825.825214451912
BLK,Nuclear,2,13,1982,9510.09870608892
BLK,Nuclear,2,14,1982,9259.64073744942
BLK,Nuclear,2,15,1982,7617.5854863315035
BLK,Nuclear,2,16,1982,8849.099851777331
BLK,Nuclear,2,17,1982,11449.099851777331
BLK,Nuclear,2,18,1982,13000.0
BLK,Nuclear,2,19,1982,12464.739694014825
BLK,Nuclear,2,20,1982,11844.654635368088
BLK,Nuclear,2,21,1982,10534.4515698143
BLK,Nuclear,2,22,1982,11344.248989934527
BLK,Nuclear,2,23,1982,8744.248989934527
BLK,Nuclear,2,24,1982,6144.248989934527
BLK,Nuclear,3,6,1982,942.5818842956141
BLK,Nuclear,3,7,1982,1467.9612392813187
BLK,Nuclear,3,8,1982,4067.9612392813187
BLK,Nuclear,3,9,1982,4081.004874942035
BLK,Nuclear,3,10,1982,5443.232941734259
BLK,Nuclear,3,11,1982,7638.101013372943
BLK,Nuclear,3,12,1982,6119.241600541613
BLK,Nuclear,3,13,1982,4519.756996143482
BLK,Nuclear,3,14,1982,4633.633523370838
BLK,Nuclear,3,15,1982,3251.380000602694
BLK,Nuclear,3,16,1982,5141.841702289152
BLK,Nuclear,3,17,1982,6975.42341243774
BLK,Nuclear,3,18,1982,7170.694331175415
BLK,Nuclear,3,19,1982,7085.650878065804
BLK,Nuclear,3,20,1982,4485.650878065804
BLK,Nuclear,3,21,1982,1885.6508780658041
BLK,Nuclear,3,22,1982,1403.0552548811756
BLK,WindOn,1,1,1982,19919.699875261973
BLK,WindOn,1,2,1982,19829.87399121169
BLK,WindOn,1,3,1982,19862.3232228858
BLK,WindOn,1,4,1982,19718.20483383374
BLK,WindOn,1,5,1982,19756.347491277073
BLK,WindOn,1,6,1982,19757.82588752568
BLK,WindOn,1,7,1982,19848.10987853282
BLK,WindOn,1,8,1982,19886.362838622415
BLK,WindOn,1,9,1982,20144.10120317002
BLK,WindOn,1,10,1982,20048.080063260342
BLK,WindOn,1,11,1982,18192.7179133627
BLK,WindOn,1,12,1982,18839.29468224526
BLK,WindOn,1,13,1982,19983.04775556919
BLK,WindOn,1,14,1982,20482.840196998368
BLK,WindOn,1,15,1982,20277.932504809527
BLK,WindOn,1,16,1982,19751.124477194553
BLK,WindOn,1,17,1982,20098.456363885776
BLK,WindOn,1,18,1982,20336.594598266878
BLK,WindOn,1,19,1982,20567.34241146264
BLK,WindOn,1,20,1982,19901.70670425693
BLK,WindOn,1,21,1982,19265.3292851205
BLK,WindOn,1,22,1982,19077.68030629353
BLK,WindOn,1,23,1982,18745.863472198474
BLK,WindOn,1,24,1982,19059.666786312206
BLK,WindOn,2,1,1982,14452.992755714835
BLK,WindOn,2,2,1982,14931.406201732703
BLK,WindOn,2,3,1982,15261.332622972037
BLK,WindOn,2,4,1982,15334.63567633183
BLK,WindOn,2,5,1982,15273.387664203967
BLK,WindOn,2,6,1982,15134.811729548019
BLK,WindOn,2,7,1982,14821.067543916677
BLK,WindOn,2,8,1982,14040.101833973627
BLK,WindOn,2,9,1982,13546.737611929988
BLK,WindOn,2,10,1982,13868.319997820707
BLK,WindOn,2,11,1982,14884.62649496115
BLK,WindOn,2,12,1982,15761.018395676942
BLK,WindOn,2,13,1982,16688.66163231328
BLK,WindOn,2,14,1982,16430.391745877423
BLK,WindOn,2,15,1982,16061.411890161067
BLK,WindOn,2,16,1982,15844.248368812761
BLK,WindOn,2,17,1982,15502.523397387453
BLK,WindOn,2,18,1982,15080.567099929878
BLK,WindOn,2,19,1982,14530.092854002105
BLK,WindOn,2,20,1982,13610.617043362656
BLK,WindOn,2,21,1982,12663.380195864476
BLK,WindOn,2,22,1982,11895.710102820785
BLK,WindOn,2,23,1982,12174.32575797498
BLK,WindOn,2,24,1982,11696.071990324153
BLK,WindOn,3,1,1982,23299.840448713385
BLK,WindOn,3,2,1982,23297.62745224244
BLK,WindOn,3,3,1982,23240.66652120751
BLK,WindOn,3,4,1982,23455.720121113864
BLK,WindOn,3,5,1982,23764.16152418948
BLK,WindOn,3,6,1982,23933.712201866332
BLK,WindOn,3,7,1982,24060.541318943724
BLK,WindOn,3,8,1982,23910.961227512293
BLK,WindOn,3,9,1982,23827.746984247777
BLK,WindOn,3,10,1982,24187.16603906446
BLK,WindOn,3,11,1982,24452.481027000078
BLK,WindOn,3,12,1982,25714.54745921675
BLK,WindOn,3,13,1982,26430.489894646
BLK,WindOn,3,14,1982,26553.94402609921
BLK,WindOn,3,15,1982,26667.70938495147
BLK,WindOn,3,16,1982,26852.44440896064
BLK,WindOn,3,17,1982,26811.295301992548
BLK,WindOn,3,18,1982,27193.111962204537
BLK,WindOn,3,19,1982,27036.938144330503
BLK,WindOn,3,20,1982,26671.72131063051
BLK,WindOn,3,21,1982,26588.96164107246
BLK,WindOn,3,22,1982,26717.512280126706
BLK,WindOn,3,23,1982,26623.235663150666
BLK,WindOn,3,24,1982,23104.433530605413
BLT,Gas,1,12,1982,0.22849094369826162
BLT,Gas,1,13,1982,254.3561517568969
BLT,Gas,1,14,1982,2.204783826791072
BLT,Gas,1,17,1982,125.0
BLT,Gas,1,18,1982,500.0
BLT,Gas,1,19,1982,500.0
BLT,Gas,1,20,1982,125.0
BLT,WindOn,1,1,1982,2031.679587797419
BLT,WindOn,1,2,1982,1938.478213468081
BLT,WindOn,1,3,1982,1868.5715327420319
BLT,WindOn,1,4,1982,1836.1094063279568
BLT,WindOn,1,5,1982,1797.6596103488866
BLT,WindOn,1,6,1982,1778.5383286886863
BLT,WindOn,1,7,1982,1718.9701957680857
BLT,WindOn,1,8,1982,1666.2380403439192
BLT,WindOn,1,9,1982,1643.2489348163697
BLT,WindOn,1,10,1982,1604.9181340165778
BLT,WindOn,1,11,1982,1650.0293104771963
BLT,WindOn,1,12,1982,1604.8758711769144
BLT,WindOn,1,13,1982,1580.9393024730498
BLT,WindOn,1,14,1982,1551.1714725793302
BLT,WindOn,1,15,1982,1523.619143580056
BLT,WindOn,1,16,1982,1513.3373025262415
BLT,WindOn,1,17,1982,1477.1149256540177
BLT,WindOn,1,18,1982,1467.1571311987666
BLT,WindOn,1,19,1982,1475.5073870619713
BLT,WindOn,1,20,1982,1495.7287726062107
BLT,WindOn,1,21,1982,1504.080378997512
BLT,WindOn,1,22,1982,1502.383758898824
BLT,WindOn,1,23,1982,1637.382888261699
BLT,WindOn,1,24,1982,1613.8429164492773
BLT,WindOn,2,1,1982,2050.8961481784067
BLT,WindOn,2,2,1982,2107.416598923652
BLT,WindOn,2,3,1982,2180.3218853009694
BLT,WindOn,2,4,1982,2321.5000832485953
BLT,WindOn,2,5,1982,2478.761380312072
BLT,WindOn,2,6,1982,2614.9150984999574
BLT,WindOn,2,7,1982,2718.6628570603243
BLT,WindOn,2,8,1982,2787.3815373989214
BLT,WindOn,2,9,1982,2841.610149644398
BLT,WindOn,2,10,1982,2784.968463106022
BLT,WindOn,2,11,1982,2828.3946297171256
BLT,WindOn,2,12,1982,2825.2764336730907
BLT,WindOn,2,13,1982,2799.6395105784813
BLT,WindOn,2,14,1982,2746.576498934386
BLT,WindOn,2,15,1982,2797.2729235628353
BLT,WindOn,2,16,1982,2906.5281331284014
BLT,WindOn,2,17,1982,3008.6124315541124
BLT,WindOn,2,18,1982,3080.297975602131
BLT,WindOn,2,19,1982,3162.490234661933
BLT,WindOn,2,20,1982,3184.9004970758847
BLT,WindOn,2,21,1982,3206.5357433884933
BLT,WindOn,2,22,1982,3192.896012582732
BLT,WindOn,2,23,1982,3153.085719967712
BLT,WindOn,2,24,1982,3123.9932237057515
BLT,WindOn,3,1,1982,1568.404061819237
BLT,WindOn,3,2,1982,3176.7676301445813
BLT,WindOn,3,3,1982,3119.7895793862313
BLT,WindOn,3,4,1982,1516.4145673580156
BLT,WindOn,3,5,1982,1978.298487700944
BLT,WindOn,3,6,1982,3487.2924117599123
BLT,WindOn,3,7,1982,3467.0029916859303
BLT,WindOn,3,8,1982,3625.4799001566143
BLT,WindOn,3,9,1982,3715.740476448516
BLT,WindOn,3,10,1982,3748.0528800929483
BLT,WindOn,3,11,1982,3639.9114124219623
BLT,WindOn,3,12,1982,3792.1681015860127
BLT,WindOn,3,13,1982,3670.5020912109294
BLT,WindOn,3,14,1982,3485.9626628785345
BLT,WindOn,3,15,1982,3413.3378831817618
BLT,WindOn,3,16,1982,3346.5927918721104
BLT,WindOn,3,17,1982,3200.1249664608818
BLT,WindOn,3,18,1982,3087.2689368293204
BLT,WindOn,3,19,1982,3007.956701167943
BLT,WindOn,3,20,1982,2959.5445312045517
BLT,WindOn,3,21,1982,2942.585505914859
BLT,WindOn,3,22,1982,2952.7129160727995
BLT,WindOn,3,23,1982,3195.535799865071
BLT,WindOn,3,24,1982,2789.6727788285684
CZE,Nuclear,1,1,1982,7038.467725963752
CZE,Nuclear,1,2,1982,5819.440515654596
CZE,Nuclear,1,3,1982,3819.4405156545963
CZE,Nuclear,1,4,1982,5819.440515654596
CZE,Nuclear,1,5,1982,7819.440515654596
CZE,Nuclear,1,6,1982,9819.440515654596
CZE,Nuclear,1,7,1982,9564.339700977698
CZE,Nuclear,1,8,1982,9024.779924954113
CZE,Nuclear,1,9,1982,9455.595396080087
CZE,Nuclear,1,10,1982,10000.0
CZE,Nuclear,1,11,1982,10000.0
CZE,Nuclear,1,12,1982,10000.0
CZE,Nuclear,1,13,1982,10000.0
CZE,Nuclear,1,14,1982,10000.0
CZE,Nuclear,1,15,1982,9200.86000204659
CZE,Nuclear,1,16,1982,10000.0
CZE,Nuclear,1,17,1982,10000.0
CZE,Nuclear,1,18,1982,10000.0
CZE,Nuclear,1,19,1982,10000.0
CZE,Nuclear,1,20,1982,10000.0
CZE,Nuclear,1,21,1982,10000.0
CZE,Nuclear,1,22,1982,9712.024194613015
CZE,Nuclear,1,23,1982,9916.574021932214
CZE,Nuclear,1,24,1982,7916.574021932215
CZE,Nuclear,2,1,1982,1437.1910224962012
CZE,Nuclear,2,6,1982,1980.0352792257208
CZE,Nuclear,2,7,1982,1855.6726271804478
CZE,Nuclear,2,8,1982,1931.8746564992698
CZE,Nuclear,2,9,1982,653.3280627404915
CZE,Nuclear,2,10,1982,2000.0
CZE,Nuclear,2,12,1982,1473.2959127790914
CZE,Nuclear,2,14,1982,725.2509906226951
CZE,Nuclear,2,15,1982,2725.250990622695
CZE,Nuclear,2,16,1982,2745.8023980636954
CZE,Nuclear,2,17,1982,2565.575731540191
CZE,Nuclear,2,18,1982,2040.4918290504938
CZE,Nuclear,2,19,1982,2652.6793741347055
CZE,Nuclear,2,20,1982,2492.2717573988357
CZE,Nuclear,2,21,1982,2233.1317863854774
CZE,Nuclear,2,22,1982,233.13178638547743
CZE,Nuclear,2,23,1982,28.618625383442577
CZE,Nuclear,2,24,1982,1101.5408117572306
CZE,Nuclear,3,1,1982,4909.275637889754
CZE,Nuclear,3,2,1982,3449.8857526327597
CZE,Nuclear,3,3,1982,3039.3089793227605
CZE,Nuclear,3,4,1982,3036.990011212341
CZE,Nuclear,3,5,1982,4729.324195554569
CZE,Nuclear,3,6,1982,6729.324195554569
CZE,Nuclear,3,7,1982,8729.324195554569
CZE,Nuclear,3,8,1982,9406.516614270804
CZE,Nuclear,3,9,1982,10000.0
CZE,Nuclear,3,10,1982,10000.0
CZE,Nuclear,3,11,1982,8259.513789332574
CZE,Nuclear,3,12,1982,8831.519788135985
CZE,Nuclear,3,13,1982,8831.428826315558
CZE,Nuclear,3,14,1982,8782.43308403629
CZE,Nuclear,3,15,1982,10000.0
CZE,Nuclear,3,16,1982,8852.580604956536
CZE,Nuclear,3,17,1982,8637.992304172742
CZE,Nuclear,3,18,1982,8388.815097066028
CZE,Nuclear,3,19,1982,8197.602000254978
CZE,Nuclear,3,20,1982,9265.772682105675
CZE,Nuclear,3,21,1982,8905.318134234289
CZE,Nuclear,3,22,1982,7225.2979940634605
CZE,Nuclear,3,23,1982,5225.2979940634605
CZE,Nuclear,3,24,1982,5100.486933513847
DEN,Gas,1,5,1982,1216.0043491610768
DEN,Gas,1,6,1982,4721.120691166979
DEN,Gas,1,7,1982,5633.360723466157
DEN,Gas,1,8,1982,5943.993329319822
DEN,Gas,1,9,1982,5973.845088626132
DEN,Gas,1,10,1982,5814.049087588657
DEN,Gas,1,11,1982,5456.303372311205
DEN,Gas,1,12,1982,5307.212504693647
DEN,Gas,1,13,1982,5219.6885058163325
DEN,Gas,1,14,1982,5148.722741917918
DEN,Gas,1,15,1982,5152.627446864442
DEN,Gas,1,16,1982,5375.868637662938
DEN,Gas,1,17,1982,5766.985581299688
DEN,Gas,1,18,1982,7250.0
DEN,Gas,1,19,1982,6976.11566455403
DEN,Gas,1,20,1982,7250.0
DEN,Gas,1,21,1982,5219.090344328151
DEN,Gas,1,22,1982,4791.358664460214
DEN,Gas,1,23,1982,3061.8932100137263
DEN,Gas,3,1,1982,396.4514299785594
DEN,Gas,3,2,1982,116.53628211027609
DEN,Gas,3,4,1982,2990.469972241185
DEN,Gas,3,5,1982,3546.8426885329845
DEN,Gas,3,6,1982,4247.653741593799
DEN,Gas,3,7,1982,5378.156572610778
DEN,Gas,3,8,1982,6271.5137681804135
DEN,Gas,3,9,1982,6774.3324026108
DEN,Gas,3,10,1982,6344.465766398038
DEN,Gas,3,11,1982,906.9657663980378
DEN,Gas,3,12,1982,5906.5998588015145
DEN,Gas,3,13,1982,5766.477934646445
DEN,Gas,3,14,1982,328.9779346464444
DEN,Gas,3,15,1982,4800.268175660407
DEN,Gas,3,16,1982,5050.599156843674
DEN,Gas,3,17,1982,5407.843575185806
DEN,Gas,3,18,1982,5452.718835300089
DEN,Gas,3,19,1982,5388.446372269912
DEN,Gas,3,20,1982,5208.624496976142
DEN,Gas,3,21,1982,4915.069973067108
DEN,Gas,3,22,1982,4526.116284743003
DEN,Gas,3,23,1982,1439.7918696612223
FIN,WindOn,1,1,1982,7641.811830934441
FIN,WindOn,1,2,1982,7438.340670684502
FIN,WindOn,1,3,1982,7377.879520533522
FIN,WindOn,1,4,1982,7301.086252318968
FIN,WindOn,1,5,1982,7287.0689288831845
FIN,WindOn,1,6,1982,7356.9005048488
FIN,WindOn,1,7,1982,7372.943882443656
FIN,WindOn,1,8,1982,7391.154024734667
FIN,WindOn,1,9,1982,7422.453512260793
FIN,WindOn,1,10,1982,7408.707080373699
FIN,WindOn,1,11,1982,7403.136024597422
FIN,WindOn,1,12,1982,7249.027702687482
FIN,WindOn,1,13,1982,7156.725524193615
FIN,WindOn,1,14,1982,7192.47901920211
FIN,WindOn,1,15,1982,7335.633127875416
FIN,WindOn,1,16,1982,7364.140112314502
FIN,WindOn,1,17,1982,7209.417598459613
FIN,WindOn,1,18,1982,7027.151514182259
FIN,WindOn,1,19,1982,6886.429628285505
FIN,WindOn,1,20,1982,6827.414622889463
FIN,WindOn,1,21,1982,6864.535523958972
FIN,WindOn,1,22,1982,6906.441560887679
FIN,WindOn,1,23,1982,7387.828501477714
FIN,WindOn,1,24,1982,7210.672248464185
FIN,WindOn,2,1,1982,9634.37020221065
FIN,WindOn,2,2,1982,9436.209921754722
FIN,WindOn,2,3,1982,9268.57158103571
FIN,WindOn,2,4,1982,9135.986866215797
FIN,WindOn,2,5,1982,9090.997320379336
FIN,WindOn,2,6,1982,9089.513266988462
FIN,WindOn,2,7,1982,9237.898754706428
FIN,WindOn,2,8,1982,9395.094181750315
FIN,WindOn,2,9,1982,9512.530068429904
FIN,WindOn,2,10,1982,9561.500786206607
FIN,WindOn,2,11,1982,10097.848821054678
FIN,WindOn,2,12,1982,9900.008848162703
FIN,WindOn,2,13,1982,9724.27285395941
FIN,WindOn,2,14,1982,9646.485914541689
FIN,WindOn,2,15,1982,9738.81776969531
FIN,WindOn,2,16,1982,9753.744043825725
FIN,WindOn,2,17,1982,9753.875284096846
FIN,WindOn,2,18,1982,9715.95661843217
FIN,WindOn,2,19,1982,9745.738563247907
