location,rep_period,time_step,scenario,loss_of_load
NOR,1,7,1987,12752.71058641983
NOR,1,8,1987,13247.49343150879
NOR,1,9,1987,12596.167799818322
NOR,1,10,1987,11322.328767856505
NOR,1,11,1987,525.860918228087
NOR,1,69,1987,1467.6947742565399
NOR,1,70,1987,4288.187615165297
NOR,1,71,1987,4237.405046918483
NOR,1,72,1987,7196.338134064916
NOR,1,73,1987,10363.282077005144
NOR,1,74,1987,12425.697365592014
NOR,1,75,1987,13269.142709497635
NOR,1,76,1987,10001.225759787143
NOR,1,141,1987,6826.1347355027865
NOR,1,142,1987,7345.655372578293
NOR,1,143,1987,5697.14745249827
NOR,1,144,1987,4584.448753925881
NOR,1,158,1987,3489.9451225298662
NOR,1,159,1987,10374.853613966374
NOR,1,160,1987,13980.43433091282
NOR,1,161,1987,15337.102697872406
NOR,1,162,1987,15663.338197260082
NOR,1,163,1987,15497.744316130536
NOR,1,164,1987,14235.727352299771
NOR,1,165,1987,12357.870080032371
NOR,1,166,1987,7948.193984565301
NED,1,171,1987,686.4832811381407
NOR,1,365,1987,692.6739790463944
NOR,1,366,1987,5216.973475118396
NOR,1,367,1987,9241.649093381533
NOR,1,368,1987,10222.084079184537
NOR,1,369,1987,8578.229036733526
NOR,1,370,1987,4511.381456678567
NOR,1,376,1987,2585.680017944558
NOR,1,377,1987,2914.3046146687884
NOR,1,378,1987,3643.870208278624
NOR,1,379,1987,4497.706040300371
NOR,1,380,1987,6788.770267854839
NOR,1,381,1987,5911.01768474482
NOR,1,382,1987,350.149412911931
NED,1,400,1987,1465.9414439966206
NED,1,401,1987,5960.302031631015
NED,1,402,1987,7278.578268994935
NED,1,403,1987,6674.7462767938805
NED,1,404,1987,5713.350104550121
NED,1,405,1987,4015.643418235779
NED,1,406,1987,3256.1640703563344
NED,1,407,1987,3948.14716494162
NED,1,408,1987,3790.6316220874533
NED,1,409,1987,2523.880881698272
NED,1,410,1987,826.1930346027402
NED,1,431,1987,1392.9801886720784
NED,1,432,1987,2546.06578350013
NED,1,433,1987,2765.6221890156858
NED,1,434,1987,3004.6530541228108
NED,1,435,1987,3229.1415724163826
NED,1,436,1987,3970.4690221851833
NED,1,437,1987,4798.030646339326
NED,1,438,1987,4585.597160240444
NED,1,439,1987,5403.865940434969
NED,1,440,1987,5723.836259603089
NED,1,441,1987,5904.711105225705
NED,1,442,1987,3645.922646375483
NED,1,443,1987,1876.022627801012
NED,1,444,1987,767.1087994321779
